# INITIAL SIZE IN LINEAGE
# original file "wt_decCap_noRe_3gen_perturbed.txt" 
# mother	daughter	initSizeMean	initSizeStd
0.0	0.0	0.7938788800000002	1.1702778228589004e-16
0.0	1.0	0.7467323579999999	0.0025555762981709805
0.0	2.0	0.75980167	0.004286966542162689
0.0	3.0	0.7734580799999999	0.00644752603164968
0.0	4.0	0.7884163160000001	0.009304607295001988
0.0	5.0	0.8059271520000001	0.013691711124972918
0.0	6.0	0.828670818	0.022049450801367054
0.0	7.0	0.8543471377777778	0.029546122940730227
0.0	8.0	0.8782423100000001	0.03512093760188244
0.0	9.0	0.91372345	0.018474782329200364
1.0	1.0	0.7225035950561797	0.0222213691638829
1.0	2.0	0.7359692770786517	0.023074674563724532
1.0	3.0	0.749311631235955	0.02541264256558498
1.0	4.0	0.7633710078651684	0.030411972698543132
1.0	5.0	0.7772347677272727	0.035008520297897056
1.0	6.0	0.788165918095238	0.03490402882422196
1.0	7.0	0.7958718715384615	0.02505117799643659
1.0	8.0	0.8129125434210527	0.031270071263403774
1.0	9.0	0.8289990094285714	0.033672522603246435
1.0	10.0	0.8462029256666667	0.03761235041513443
1.0	11.0	0.8578660320930231	0.03641399990388185
1.0	12.0	0.8779474406896551	0.044460289816765856
1.0	13.0	0.8877949246153846	0.05634980965757804
1.0	14.0	0.855192332	0.04427984853315242
1.0	15.0	0.894387505	0.0814006957061251
1.0	16.0	0.8548860199999999	0.06461759555371281
1.0	17.0	NaN	NaN
1.0	18.0	NaN	NaN
1.0	19.0	NaN	NaN
1.0	20.0	NaN	NaN
2.0	1.0	0.7329291017977528	0.0314870020781096
2.0	2.0	0.7426684427586208	0.024485666961201344
2.0	3.0	0.7560681257471265	0.02922094561274902
2.0	4.0	0.7657942738823529	0.02209837246682769
2.0	5.0	0.7799206625882352	0.026441295389486034
2.0	6.0	0.7928455383132532	0.026049179320401274
2.0	7.0	0.8111525109756096	0.03475935971341787
2.0	8.0	0.8266236328	0.03748036027563692
2.0	9.0	0.8418018864516128	0.04454472390233877
2.0	10.0	0.8556570093877554	0.04435142468768658
2.0	11.0	0.8691805799999999	0.044452863388417425
2.0	12.0	0.8819768747826086	0.04242054423107756
2.0	13.0	0.8776325222222222	0.03694319619754693
2.0	14.0	0.889958744	0.024755351160471954
2.0	15.0	NaN	NaN
3.0	1.0	0.7387907689411765	0.027494952937590206
3.0	2.0	0.7526468823529412	0.032639493481020285
3.0	3.0	0.7624388440963856	0.026346933362314327
3.0	4.0	0.775002091707317	0.02726251105056
3.0	5.0	0.7893629839506172	0.031082809116206887
3.0	6.0	0.8032571987012987	0.03628517940853644
3.0	7.0	0.8168310083333332	0.03711313666477844
3.0	8.0	0.8316455787692306	0.03635474042582753
3.0	9.0	0.845947103773585	0.04019207203976734
3.0	10.0	0.8612550682926831	0.03727272183418968
3.0	11.0	0.8663263090909091	0.04259442537544923
3.0	12.0	0.8753432857142857	0.040225788505450014
3.0	13.0	0.88934612	0.03932400814912657
3.0	14.0	0.8757322533333333	0.01903413646789716
3.0	15.0	NaN	NaN
4.0	1.0	0.7475066466666667	0.02987891627741793
4.0	2.0	0.7597697625000001	0.0292099239350668
4.0	3.0	0.7759372927499999	0.03957565275306016
4.0	4.0	0.7858497927272727	0.03218531779456212
4.0	5.0	0.8016489944	0.037293520707070815
4.0	6.0	0.8179389582857142	0.04468745462306398
4.0	7.0	0.8220067407017544	0.03547984264279467
4.0	8.0	0.8396104607843138	0.04085147011196223
4.0	9.0	0.8488403884210527	0.04045385566700148
4.0	10.0	0.8676745460000002	0.04316736027933977
4.0	11.0	0.873456185	0.05181752851170499
4.0	12.0	0.8645603740000001	0.016575725649678998
4.0	13.0	0.9066399849999999	0.025309478151370808
4.0	14.0	NaN	NaN
5.0	1.0	0.7543067730666667	0.025843445128696588
5.0	2.0	0.7688225583999999	0.029091379490228983
5.0	3.0	0.7834787597297296	0.03293646928556696
5.0	4.0	0.79668674	0.032937386694221936
5.0	5.0	0.8127718738235294	0.035587191175824213
5.0	6.0	0.8294775206349205	0.03446189395220456
5.0	7.0	0.8480627238461539	0.04074717964961955
5.0	8.0	0.8623452844444445	0.04324770853688085
5.0	9.0	0.8703231723809524	0.03983827855095723
5.0	10.0	0.8841713036363636	0.049106490079828584
5.0	11.0	0.8599274049999999	0.048592178875881825
5.0	12.0	0.8965784866666665	0.08839751220379521
5.0	13.0	NaN	NaN
5.0	14.0	NaN	NaN
5.0	15.0	NaN	NaN
5.0	16.0	NaN	NaN
6.0	1.0	0.762914732173913	0.027681860787537215
6.0	2.0	0.7778159971014493	0.0321208542951283
6.0	3.0	0.7937700191176472	0.03909191004255444
6.0	4.0	0.8048915257142853	0.03709690127345052
6.0	5.0	0.8182077986206895	0.03556193694172462
6.0	6.0	0.8353880830769231	0.03963681324064788
6.0	7.0	0.8506275360975609	0.04408361036913203
6.0	8.0	0.8516559992307691	0.04071440640793358
6.0	9.0	0.8644157266666667	0.04204808927780275
6.0	10.0	0.8623140859999999	0.038844733266761786
6.0	11.0	0.8711801166666667	0.04555298089186861
6.0	12.0	0.88015676	0.04061068140090896
6.0	13.0	NaN	NaN
6.0	14.0	NaN	NaN
6.0	15.0	NaN	NaN
7.0	1.0	0.771662607118644	0.03176847532629853
7.0	2.0	0.785362878275862	0.03336415173311226
7.0	3.0	0.7982322232727272	0.03537158307799362
7.0	4.0	0.8136664388461538	0.040346013030373655
7.0	5.0	0.8230125546666665	0.03536574310604965
7.0	6.0	0.8405467894999997	0.0379694374123186
7.0	7.0	0.8605326806060605	0.04013921688152421
7.0	8.0	0.871465157	0.045703170074855984
