# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_decCap_noRe_3gen_perturbed.txt" 
# genT	cycleGrowth	rejuvenation
1.6289	1.6084	0.6341
1.4761	1.5987	0.6341
1.5088	1.6051	0.6341
1.4794	1.5994	0.6341
1.464	1.5962	0.6341
1.5331	1.6015	0.6341
1.4977	1.5939	0.6337
1.5284	1.6092	0.6337
1.5553	1.6096	0.6337
1.5112	1.598	0.6337
1.5456	1.5998	0.6337
1.561	1.6049	0.6337
1.4603	1.5956	0.6337
1.4798	1.6016	0.6337
1.4933	1.5974	0.6337
1.4696	1.6025	0.6337
1.4726	1.6031	0.6337
1.4955	1.6022	0.6337
1.5297	1.5997	0.6337
1.5559	1.6009	0.6337
1.5123	1.5985	0.6337
1.6031	1.6098	0.6337
1.433	1.5975	0.6322
1.5065	1.6075	0.6322
1.5179	1.6029	0.6322
1.4796	1.6067	0.6322
1.4521	1.5971	0.6322
1.5139	1.6025	0.6322
1.5353	1.6057	0.6322
1.4554	1.6032	0.6322
1.4688	1.6002	0.6322
1.4536	1.5969	0.6322
1.5258	1.6124	0.6322
1.5369	1.6062	0.6322
1.5726	1.5983	0.6322
1.5055	1.6013	0.6322
1.5071	1.6028	0.6322
1.5145	1.6089	0.631
1.4701	1.5971	0.631
1.5168	1.6014	0.631
1.5978	1.6125	0.631
1.4329	1.5991	0.631
1.5414	1.6158	0.631
1.5028	1.6009	0.631
1.4787	1.5977	0.631
1.4583	1.6014	0.631
1.523	1.6015	0.631
1.5425	1.6128	0.631
1.5387	1.608	0.631
1.5161	1.6027	0.519
1.5492	1.6096	0.519
1.4462	1.6025	0.519
1.4769	1.6079	0.519
1.4682	1.6027	0.519
1.5669	1.6095	0.519
1.4887	1.61	0.519
1.5293	1.6076	0.519
1.4383	1.5987	0.519
1.5695	1.6137	0.519
1.519	1.607	0.519
1.5078	1.6066	0.519
1.5316	1.6008	0.519
1.5807	1.6013	0.519
1.6017	1.6102	0.519
1.5367	1.6103	0.519
1.6174	1.6055	0.519
1.4744	1.6005	0.5179
1.5672	1.6146	0.5179
1.4693	1.599	0.5179
1.469	1.595	0.5179
1.5591	1.6024	0.5179
1.5237	1.6103	0.5179
1.5429	1.6124	0.5179
1.4398	1.5974	0.5179
1.4722	1.6039	0.5179
1.4525	1.5986	0.5179
1.516	1.6013	0.5179
1.4938	1.6057	0.5179
1.531	1.6091	0.5179
1.5766	1.6136	0.5179
1.6347	1.6256	0.5179
1.4788	1.6023	0.5179
1.4847	1.5963	0.5153
1.4985	1.6017	0.5153
1.5056	1.6049	0.5153
1.5825	1.6105	0.5153
1.5546	1.6088	0.5153
1.5371	1.6051	0.5153
1.6354	1.6156	0.5153
1.4853	1.6036	0.5153
1.6267	1.6168	0.5153
1.5347	1.606	0.5153
1.544	1.6043	0.5153
1.4679	1.5997	0.5153
1.5571	1.6213	0.5153
1.5427	1.6082	0.5153
1.61	1.6104	0.5153
1.6089	1.6137	0.5153
1.4869	1.5983	0.5153
1.5774	1.6127	0.5153
1.6318	1.6208	0.5153
1.4424	1.5987	0.5153
1.5122	1.6017	0.5153
1.5895	1.6101	0.5153
1.4773	1.6042	0.5153
1.5083	1.6067	0.5153
1.5138	1.605	0.5153
1.5641	1.6073	0.5153
1.569	1.612	0.5153
1.5593	1.6062	0.5153
1.4667	1.6022	0.5151
1.4515	1.596	0.5151
1.5134	1.6094	0.5151
1.5757	1.6094	0.5151
