# INITIAL DAMAGE IN LINEAGE
# original file "wt_decCap_noRe_3gen_perturbed.txt" 
# mother	daughter	initDMean	initDStd
0.0	0.0	0.16880000000000003	2.925694557147251e-17
0.0	1.0	0.15033000000000002	0.0010011659869039382
0.0	2.0	0.15545	0.0016794509684880871
0.0	3.0	0.1608	0.002525866188063019
0.0	4.0	0.16665999999999997	0.003645148983390264
0.0	5.0	0.17351999999999995	0.005363829477776742
0.0	6.0	0.18242999999999998	0.008638036042218545
0.0	7.0	0.1924888888888889	0.01157491300663254
0.0	8.0	0.20184999999999997	0.01375888803646574
0.0	9.0	0.21575	0.007237633130612066
1.0	1.0	0.140838202247191	0.008705386337022215
1.0	2.0	0.14611348314606742	0.009039675062181512
1.0	3.0	0.15134044943820224	0.009955591383524634
1.0	4.0	0.15684831460674156	0.011914116077153933
1.0	5.0	0.16227954545454548	0.013714847723065523
1.0	6.0	0.16656190476190474	0.013673912412529169
1.0	7.0	0.16958076923076923	0.00981398495511893
1.0	8.0	0.1762565789473684	0.012250282560292947
1.0	9.0	0.1825585714285714	0.013191460708002204
1.0	10.0	0.18929833333333335	0.014734917501815565
1.0	11.0	0.19386744186046512	0.014265454792714039
1.0	12.0	0.20173448275862074	0.017417648600159
1.0	13.0	0.2055923076923077	0.022075456263252392
1.0	14.0	0.19281999999999996	0.01734695938774285
1.0	15.0	0.208175	0.031889326845618224
1.0	16.0	0.1927	0.0253144227664784
1.0	17.0	NaN	NaN
1.0	18.0	NaN	NaN
1.0	19.0	NaN	NaN
1.0	20.0	NaN	NaN
2.0	1.0	0.14492247191011237	0.012335266817405627
2.0	2.0	0.14873793103448274	0.009592441808822901
2.0	3.0	0.15398735632183908	0.011447522374343424
2.0	4.0	0.15779764705882354	0.00865720146784756
2.0	5.0	0.16333176470588237	0.010358573763803974
2.0	6.0	0.16839518072289156	0.010204959382747503
2.0	7.0	0.1755670731707317	0.013617237214376663
2.0	8.0	0.18162799999999996	0.014683209384798605
2.0	9.0	0.1875741935483871	0.017450726280004214
2.0	10.0	0.19300204081632644	0.0173749998776489
2.0	11.0	0.19830000000000003	0.01741473924172116
2.0	12.0	0.20331304347826085	0.01661856312429584
2.0	13.0	0.2016111111111111	0.014472771369406456
2.0	14.0	0.20644	0.009698092595969583
2.0	15.0	NaN	NaN
3.0	1.0	0.1472188235294118	0.010771351930420042
3.0	2.0	0.1526470588235294	0.01278676388036523
3.0	3.0	0.15648313253012047	0.010321606739134345
