# INITIAL SIZE IN LINEAGE
# original file "wt_decCap_noRe_3gen.txt" 
# mother	daughter	initSizeMean	initSizeStd
0.0	0.0	0.7938788800000002	1.1702778228589004e-16
0.0	1.0	0.7390235059999999	0.002977911778471611
0.0	2.0	0.747013144	0.00480901529977741
0.0	3.0	0.7548751520000001	0.006827959808162659
0.0	4.0	0.7629158419999998	0.009072848360653783
0.0	5.0	0.7712373180000001	0.01176293547517399
0.0	6.0	0.780145892	0.015048942726968337
0.0	7.0	0.790075506	0.019482227010216405
0.0	8.0	0.801970622	0.026096248509078768
0.0	9.0	0.8178477940000001	0.03823496966134193
0.0	10.0	0.8271194044444444	0.04293811189517163
0.0	11.0	0.8366030225000001	0.04623477438182334
0.0	12.0	0.8322955100000001	0.04211240768431604
0.0	13.0	0.8299215919999998	0.018654424551599574
0.0	14.0	0.850087132	0.028465438815752
0.0	15.0	0.8733285550000001	0.05236890793878461
0.0	16.0	0.8757322533333333	0.021052889926034705
0.0	17.0	NaN	NaN
0.0	18.0	NaN	NaN
1.0	1.0	0.7093356894366198	0.019160931902955262
1.0	2.0	0.719596422394366	0.018504199210670192
1.0	3.0	0.7291345178873239	0.018545380453081923
1.0	4.0	0.7382304023943662	0.01938282809357296
1.0	5.0	0.7471716928169013	0.021387232848829065
1.0	6.0	0.7549816008510638	0.020349948634860955
1.0	7.0	0.7640876845390071	0.023938250739995465
1.0	8.0	0.7730186681428572	0.027708294419304582
1.0	9.0	0.7809457066666665	0.026100199282822534
1.0	10.0	0.7919933097810221	0.03310443079986433
1.0	11.0	0.801331320451128	0.03428402583114045
1.0	12.0	0.8092871146774195	0.03590564388904709
1.0	13.0	0.8182218053913043	0.03753349008199816
1.0	14.0	0.8327185798148149	0.04616950227938531
1.0	15.0	0.8394049217582418	0.04855545574518007
1.0	16.0	0.8359347882857142	0.04017532011870817
1.0	17.0	0.850208998064516	0.047672362022847845
1.0	18.0	0.8535445472340425	0.047559393718724675
1.0	19.0	0.8478787212903224	0.04549951746716821
1.0	20.0	0.8498020916666666	0.04319494767075584
1.0	21.0	0.8557652488888888	0.04833468085834811
1.0	22.0	0.8533119166666666	0.048156682164027007
1.0	23.0	0.8551731874999999	0.06014833730479048
1.0	24.0	0.849831872	0.0787491372917654
1.0	25.0	0.8077480066666666	0.059019917223921414
1.0	26.0	0.8276582866666665	0.08840893649126051
1.0	27.0	0.78009484	0.02274250569767549
1.0	28.0	0.7834132199999999	0.025630442929126345
1.0	29.0	0.78698686	0.028879372314508524
1.0	30.0	0.79119865	0.03303078208471918
1.0	31.0	0.79604859	0.038084672239758074
1.0	32.0	0.8020472	0.04476302708748817
1.0	33.0	0.80996026	0.054148823089703466
1.0	34.0	0.8214469600000001	0.06822751709302632
1.0	35.0	0.84212302	0.09566292079180938
1.0	36.0	NaN	NaN
1.0	37.0	NaN	NaN
1.0	38.0	NaN	NaN
1.0	39.0	NaN	NaN
1.0	40.0	NaN	NaN
1.0	41.0	NaN	NaN
1.0	42.0	NaN	NaN
1.0	43.0	NaN	NaN
1.0	44.0	NaN	NaN
1.0	45.0	NaN	NaN
1.0	46.0	NaN	NaN
1.0	47.0	NaN	NaN
1.0	48.0	NaN	NaN
1.0	49.0	NaN	NaN
1.0	50.0	NaN	NaN
1.0	51.0	NaN	NaN
1.0	52.0	NaN	NaN
1.0	53.0	NaN	NaN
1.0	54.0	NaN	NaN
1.0	55.0	NaN	NaN
1.0	56.0	NaN	NaN
1.0	57.0	NaN	NaN
1.0	58.0	NaN	NaN
2.0	1.0	0.7154169892957748	0.02360718727634136
2.0	2.0	0.7255105449295775	0.024892324651814037
2.0	3.0	0.7336737270921986	0.02154766762176522
2.0	4.0	0.7427761900709222	0.023743359854828425
2.0	5.0	0.7522606378723403	0.02967515909011535
2.0	6.0	0.758816439856115	0.02510345093006722
2.0	7.0	0.7657816478832118	0.022704209360713056
2.0	8.0	0.7744096742647057	0.025210601015183992
2.0	9.0	0.7841147122962963	0.030303590230373986
2.0	10.0	0.7952561410447762	0.03647307794791361
2.0	11.0	0.8043564125581395	0.038171584641616844
2.0	12.0	0.8116917736666667	0.038181069290609264
2.0	13.0	0.8248760279646017	0.04713673373163179
2.0	14.0	0.8289337094845363	0.04560782825673005
2.0	15.0	0.8342192987804877	0.04641474755264927
2.0	16.0	0.8308545261290322	0.04245148179775282
2.0	17.0	0.8408611686792454	0.05203022436038803
2.0	18.0	0.8435595995348834	0.052410032717706785
2.0	19.0	0.8403856051612903	0.05824510498904435
2.0	20.0	0.8248763226086955	0.040236887022263676
2.0	21.0	0.828926078	0.043112587147254765
2.0	22.0	0.8323180329411765	0.048354934291583905
2.0	23.0	0.8263515985714285	0.03683129555760422
2.0	24.0	0.8363109461538462	0.04335679001702839
2.0	25.0	0.8326528740000001	0.042205636964497265
2.0	26.0	0.8431156977777777	0.05159590851469859
2.0	27.0	0.8081223879999999	0.024773637251278246
2.0	28.0	0.8166480719999999	0.03125991958612044
2.0	29.0	0.829155812	0.04382093852684034
2.0	30.0	0.8202344749999999	0.02818389071625789
2.0	31.0	0.83152973	0.035084710873494
2.0	32.0	0.8492064850000001	0.04834167722693776
2.0	33.0	0.84875978	0.05293922552145241
2.0	34.0	0.8869636933333332	0.08510895645375366
2.0	35.0	NaN	NaN
2.0	36.0	NaN	NaN
2.0	37.0	NaN	NaN
2.0	38.0	NaN	NaN
2.0	39.0	NaN	NaN
2.0	40.0	NaN	NaN
2.0	41.0	NaN	NaN
2.0	42.0	NaN	NaN
2.0	43.0	NaN	NaN
2.0	44.0	NaN	NaN
2.0	45.0	NaN	NaN
3.0	1.0	0.7200886838571429	0.022891637983966255
3.0	2.0	0.7299271335714287	0.024091678027631642
3.0	3.0	0.7379512303597122	0.02088867220029233
3.0	4.0	0.7469073671942447	0.022489768479395895
3.0	5.0	0.7560214346762589	0.025775029733320746
3.0	6.0	0.7630874437956204	0.023070917719341017
3.0	7.0	0.7728283144525548	0.02787135871624053
3.0	8.0	0.7818684242962963	0.03157213666747759
3.0	9.0	0.7912218554545455	0.035769926530554684
3.0	10.0	0.79949659421875	0.033981723464408455
3.0	11.0	0.8119776374193547	0.04179970675667194
3.0	12.0	0.8176387567567569	0.041147536783005846
3.0	13.0	0.8283865284313725	0.04551882206335479
3.0	14.0	0.8396564626966293	0.053931421410487866
3.0	15.0	0.8365373305882352	0.0511915076491738
3.0	16.0	0.8366418916363637	0.04616027746185862
3.0	17.0	0.8367744325581394	0.04673429342438438
3.0	18.0	0.8344033387878786	0.0461589396457092
3.0	19.0	0.8250312358333334	0.040306451140436336
3.0	20.0	0.823157202	0.034140422942699394
3.0	21.0	0.8313028322222222	0.04307853790911834
3.0	22.0	0.8282198586666666	0.03341035760823405
3.0	23.0	0.8336265085714285	0.023014255139924056
3.0	24.0	0.8530262685714286	0.0340172662028607
3.0	25.0	0.856851522	0.035673958689412484
3.0	26.0	0.8742538725	0.0497925158014873
3.0	27.0	0.8458242899999999	0.028546925380383757
3.0	28.0	0.8775403449999999	0.061901251741726795
3.0	29.0	0.8711375733333334	0.030073412601674163
3.0	30.0	0.8795186099999999	0.00776133130952416
3.0	31.0	0.94205731	0.029420860545405512
4.0	1.0	0.7242115321167885	0.02204208583498787
4.0	2.0	0.7337120484671534	0.02330269366062957
4.0	3.0	0.7413535042647058	0.019006311294594815
4.0	4.0	0.7500529902941178	0.020363345109507876
4.0	5.0	0.7591034588235295	0.0248665543924836
4.0	6.0	0.766515008	0.020541023119773214
4.0	7.0	0.7760806401481484	0.024471371195439053
4.0	8.0	0.7856210285074627	0.027074325729239027
4.0	9.0	0.7968594723308271	0.03211406456566616
4.0	10.0	0.8094674118461538	0.03927343116976664
4.0	11.0	0.8224306448780488	0.04702704287204685
4.0	12.0	0.8237343869902913	0.04428641528472636
4.0	13.0	0.8297758930337081	0.045639190494614505
4.0	14.0	0.8341271729729729	0.047163175736035054
4.0	15.0	0.8308871789655172	0.040518320453385284
4.0	16.0	0.8354490345833333	0.04518867468405881
4.0	17.0	0.8398682233333332	0.037947584267543834
4.0	18.0	0.8530992	0.04240198227583942
4.0	19.0	0.8589418177777776	0.04737100056300603
4.0	20.0	0.8624497768421053	0.05079297798435146
4.0	21.0	0.856115909090909	0.06288446208623262
4.0	22.0	0.8411338875	0.047496675097406196
4.0	23.0	0.8267648766666666	0.016517840215536254
4.0	24.0	0.8408892633333335	0.022248023862085065
4.0	25.0	0.8628416233333334	0.0339272774086844
4.0	26.0	0.892051876	0.05787048769973415
4.0	27.0	0.85386498	0.028879372314508524
4.0	28.0	0.88513433	0.052163366243080926
4.0	29.0	NaN	NaN
4.0	30.0	NaN	NaN
5.0	1.0	0.7289672074074074	0.0225102815489921
5.0	2.0	0.7380147562962962	0.022973305145495473
5.0	3.0	0.7468845685925926	0.024665741504644765
5.0	4.0	0.754610748358209	0.02399395393589105
5.0	5.0	0.7637753443283581	0.028164698032062285
5.0	6.0	0.7722911771428571	0.030437406159230032
5.0	7.0	0.7801006856488548	0.029827189866587306
5.0	8.0	0.7891061116279068	0.03150163346915498
5.0	9.0	0.799909903968254	0.03804170511620504
5.0	10.0	0.8086711970000001	0.03903661091297057
5.0	11.0	0.8192692012612612	0.04676846562649156
5.0	12.0	0.8223988670833334	0.04505964039807489
5.0	13.0	0.827647010120482	0.04724829166812932
5.0	14.0	0.83191262	0.04696151752942633
5.0	15.0	0.8398717104918033	0.0524774975866372
5.0	16.0	0.8375609263829785	0.051829276550837064
5.0	17.0	0.8358489978947369	0.04545610547684918
5.0	18.0	0.8393398625806451	0.048931655543383294
5.0	19.0	0.8441454646153848	0.05167849108457322
5.0	20.0	0.832799312631579	0.04074153323281303
5.0	21.0	0.8432491670588236	0.04852970759453374
5.0	22.0	0.82846661	0.03204051487701099
5.0	23.0	0.8501424383333333	0.053284120379872006
5.0	24.0	0.8438531155555555	0.0425120524833932
5.0	25.0	0.8540108428571429	0.06287499204853748
5.0	26.0	0.837630444	0.048504639264376335
5.0	27.0	0.8305725049999999	0.03652589838387867
5.0	28.0	0.85641758	0.07137640473401462
5.0	29.0	0.8319126200000001	0.019149604519488134
5.0	30.0	0.8469729599999999	0.028694902778389094
5.0	31.0	0.8758173399999999	0.05654743617061694
5.0	32.0	0.86139515	0.009927284233112359
5.0	33.0	0.8927921299999999	0.019674072389258897
5.0	34.0	NaN	NaN
6.0	1.0	0.7339104518461538	0.023016983459928354
6.0	2.0	0.7433570353846154	0.024291137636540387
6.0	3.0	0.7529646290769231	0.027747457917877097
6.0	4.0	0.761306516744186	0.027547750281331024
6.0	5.0	0.7702753068749999	0.029740913624516443
6.0	6.0	0.7803300007874016	0.035054137164584345
6.0	7.0	0.7879132067741934	0.030305105338770077
6.0	8.0	0.801123698373984	0.0390891785969859
6.0	9.0	0.8102599130434782	0.042360576701125585
6.0	10.0	0.8197282093333332	0.04780473566840063
6.0	11.0	0.8159213317647059	0.03886890487109915
6.0	12.0	0.8252856776923077	0.041417641759628136
6.0	13.0	0.8358509171428571	0.04627586827824206
6.0	14.0	0.841872238245614	0.049212826982106495
6.0	15.0	0.8433181009090909	0.04966562844520871
6.0	16.0	0.838126605625	0.04561613303635437
6.0	17.0	0.8407976315384614	0.04355923574392451
6.0	18.0	0.8582165552380951	0.06682453661675833
6.0	19.0	0.828790593846154	0.052324476547621186
6.0	20.0	0.8195905236363636	0.02660786232975932
6.0	21.0	0.8348829181818183	0.039586583408633254
6.0	22.0	0.8321962422222222	0.027420391237072905
6.0	23.0	0.8527588533333333	0.04423848014115992
6.0	24.0	0.8680000025	0.0501051271737556
6.0	25.0	0.8804971066666667	0.05338991376101619
6.0	26.0	0.8718182666666666	0.07302949491553212
6.0	27.0	0.86369249	0.08609662871262842
6.0	28.0	NaN	NaN
6.0	29.0	NaN	NaN
6.0	30.0	NaN	NaN
6.0	31.0	NaN	NaN
6.0	32.0	NaN	NaN
6.0	33.0	NaN	NaN
6.0	34.0	NaN	NaN
7.0	1.0	0.7385441844444445	0.02340458634119812
7.0	2.0	0.7477234150793649	0.0249278588581032
7.0	3.0	0.7571963973015874	0.028597306610716848
7.0	4.0	0.7646866053225805	0.028575893202624342
7.0	5.0	0.7730928299186992	0.02858615105286822
7.0	6.0	0.7814829480991737	0.02942205815424754
7.0	7.0	0.7923856089999999	0.03475649598749562
7.0	8.0	0.804978363559322	0.04247275408224487
7.0	9.0	0.8107809089719625	0.043506626967382944
7.0	10.0	0.8185267856	0.04044533508687469
7.0	11.0	0.8294974676923077	0.04565320017779225
7.0	12.0	0.8352446138666667	0.05033760108528651
7.0	13.0	0.8369508665573773	0.047326537226856806
7.0	14.0	0.8402989745833332	0.05186376283734222
7.0	15.0	0.840743236216216	0.0544785767344522
7.0	16.0	0.8291993007407407	0.0450383632624764
7.0	17.0	0.8396129633333335	0.05527787462366685
7.0	18.0	0.8376358178947368	0.057366861535309496
7.0	19.0	0.8275051306666666	0.04696659803533928
7.0	20.0	0.83663493	0.05260602627794812
7.0	21.0	0.8352097283333332	0.04299313888437417
7.0	22.0	0.8315439111111113	0.04489494983447259
7.0	23.0	0.8393470675	0.05328543219795169
7.0	24.0	0.843508717142857	0.053008690914829466
7.0	25.0	0.8535671766666667	0.06346472387796093
7.0	26.0	0.8409105350000001	0.07088675600056635
7.0	27.0	0.7825198099999999	0.0074003391555927545
7.0	28.0	0.78494478	0.007580835232558419
7.0	29.0	0.78762501	0.008122323463455488
7.0	30.0	0.7904328700000001	0.008483315617386893
7.0	31.0	0.7934959899999999	0.00884430777131822
7.0	32.0	0.796942	0.009746788156146616
7.0	33.0	0.80064327	0.010649268540975013
7.0	34.0	0.80498269	0.011732245002769152
7.0	35.0	0.80996026	0.013356709695460201
7.0	36.0	0.81595887	0.015703158696013988
7.0	37.0	0.82323378	0.0187715920044305
7.0	38.0	0.8326784	0.02382548215946947
7.0	39.0	0.84569666	0.03248929385382203
7.0	40.0	0.86726613	0.050358405473424135
7.0	41.0	NaN	NaN
7.0	42.0	NaN	NaN
7.0	43.0	NaN	NaN
7.0	44.0	NaN	NaN
8.0	1.0	0.7431183018333333	0.02251742206387166
8.0	2.0	0.7524842166666666	0.02443817905209072
8.0	3.0	0.7608216374789916	0.024095504393220436
8.0	4.0	0.7708711593277311	0.0282840216493124
8.0	5.0	0.7828168983193277	0.03769978071473928
8.0	6.0	0.788222499115044	0.033759876664633835
8.0	7.0	0.7980767467272727	0.03672798590901417
8.0	8.0	0.8062761709615385	0.03777613168945445
8.0	9.0	0.8144549412371135	0.037354268132802876
8.0	10.0	0.8242084090909089	0.043012801719432205
8.0	11.0	0.8322627843589745	0.04296962984569676
8.0	12.0	0.8402665836363636	0.04640394032672363
8.0	13.0	0.8458148359259258	0.044959234339853334
8.0	14.0	0.8488344902439022	0.044133680532629074
8.0	15.0	0.8611957281250002	0.05649305781686714
8.0	16.0	0.8571949627272727	0.052481408542093676
8.0	17.0	0.8484862871428571	0.05681898161123358
8.0	18.0	0.8439330454545455	0.0479397654556683
8.0	19.0	0.8443636355555555	0.04040709720169563
8.0	20.0	0.8510571199999999	0.04705192654151089
8.0	21.0	0.8326784	0.04361038225415901
8.0	22.0	0.858140585	0.06562461893387546
8.0	23.0	0.8122575999999999	0.03826516831672373
8.0	24.0	0.82336141	0.04927542901163016
8.0	25.0	0.84084672	0.06894950140088905
8.0	26.0	NaN	NaN
8.0	27.0	NaN	NaN
8.0	28.0	NaN	NaN
8.0	29.0	NaN	NaN
8.0	30.0	NaN	NaN
8.0	31.0	NaN	NaN
8.0	32.0	NaN	NaN
8.0	33.0	NaN	NaN
8.0	34.0	NaN	NaN
8.0	35.0	NaN	NaN
9.0	1.0	0.7506373996581196	0.02758217722511766
9.0	2.0	0.759907482905983	0.030274613270778006
9.0	3.0	0.7704429576068376	0.03782638420320245
9.0	4.0	0.7766264387719298	0.033888198782704486
9.0	5.0	0.7874205761061946	0.04104026640431078
9.0	6.0	0.793614165925926	0.03831597848996454
9.0	7.0	0.7993075778217822	0.03766535620275691
9.0	8.0	0.8076496252083333	0.03877047188337774
9.0	9.0	0.8145549400000001	0.0394896529296758
9.0	10.0	0.8236245483950616	0.04213481891691821
9.0	11.0	0.833426453611111	0.04814279366458499
9.0	12.0	0.8421188354098359	0.05414373871378056
9.0	13.0	0.8344311853333333	0.04391765648420201
9.0	14.0	0.8415789131578947	0.0495002430675852
9.0	15.0	0.8444203599999999	0.04776677863274599
9.0	16.0	0.8370622130434782	0.03829632078920357
9.0	17.0	0.8519444523809524	0.04756272800181146
9.0	18.0	0.8633946866666666	0.048034223934312406
9.0	19.0	0.85156764	0.04106069546679697
9.0	20.0	0.8604698324999999	0.054495031600613635
9.0	21.0	0.8719033533333334	0.06571161242299586
9.0	22.0	0.8489299533333333	0.09314063957883331
9.0	23.0	0.80013275	0.0005414882308970692
9.0	24.0	0.80549321	0.0012634725387597233
9.0	25.0	0.8120023399999999	0.0021659529235881197
9.0	26.0	0.8195325099999999	0.0034294254623479215
