# GROWTH PER CELL CYCLE IN LINEAGE
# original file "wt_unlimCap_noRe_3gen_perturbed.txt" 
# mother	daughter	growthCycleMean	growthCycleStd
0.0	0.0	1.6208299999999998	0.01520226956740341
0.0	1.0	1.61293	0.008675386638838253
0.0	2.0	1.6130899999999997	0.008236160108529574
0.0	3.0	1.6138400000000002	0.008578293018492132
0.0	4.0	1.6156399999999997	0.006311048512991617
0.0	5.0	1.6216600000000003	0.01179022193740785
0.0	6.0	1.6368000000000003	0.020612401876324644
0.0	7.0	1.3926571428571428	0.6143390102572109
0.0	8.0	1.633825	0.01025682699473864
0.0	9.0	1.6322499999999998	0.020309029190649745
0.0	10.0	0.82225	1.1628371016612775
1.0	1.0	1.612477011494253	0.0071283368546821635
1.0	2.0	1.6138390804597704	0.008677642434116605
1.0	3.0	1.612495348837209	0.006969630034518141
1.0	4.0	1.6162011627906978	0.01079103652205135
1.0	5.0	1.597796470588235	0.17567303533706538
1.0	6.0	1.6199646341463414	0.0117406161315516
1.0	7.0	1.6206454545454547	0.015460786946800418
1.0	8.0	1.582290277777778	0.26989722100115654
1.0	9.0	1.5689363636363634	0.3079154948789229
1.0	10.0	1.5112999999999999	0.44295509395779376
1.0	11.0	1.6342285714285716	0.015421191356608714
1.0	12.0	1.5001166666666668	0.4725595274351127
1.0	13.0	1.655675	0.007656968503700864
1.0	14.0	NaN	NaN
2.0	1.0	1.6130364705882354	0.008492445481255727
2.0	2.0	1.6136705882352937	0.008281344834560849
2.0	3.0	1.6142130952380955	0.01135370837737747
2.0	4.0	1.6143634146341463	0.009434131783970057
2.0	5.0	1.619475308641975	0.014477219440073765
2.0	6.0	1.6230887500000002	0.01402780235546717
2.0	7.0	1.6032874999999998	0.19219438145815942
2.0	8.0	1.6304525423728813	0.020670888707954055
2.0	9.0	1.6334170731707318	0.014742284464068394
2.0	10.0	1.5733592592592591	0.3156276570450344
2.0	11.0	1.6484470588235294	0.03738686463263299
2.0	12.0	1.193418181818182	0.7665224756237509
2.0	13.0	1.32544	0.7428419569464287
2.0	14.0	1.0826333333333333	0.9375971540770233
2.0	15.0	NaN	NaN
2.0	16.0	NaN	NaN
2.0	17.0	NaN	NaN
3.0	1.0	1.6122209876543205	0.007277254222050067
3.0	2.0	1.6129012345679015	0.00912750642052856
3.0	3.0	1.61572962962963	0.010473519518820364
3.0	4.0	1.6163987179487178	0.011188555070640918
3.0	5.0	1.6170386666666665	0.011190776768602115
3.0	6.0	1.5992124999999997	0.19156882111092866
3.0	7.0	1.6275621212121214	0.016880510064764636
3.0	8.0	1.6332603773584904	0.02115099870003089
3.0	9.0	1.4529805555555555	0.5215128382583251
3.0	10.0	1.6285000000000003	0.012728445833381766
3.0	11.0	1.5314733333333332	0.4240930515593864
3.0	12.0	1.3625166666666668	0.6675087397680024
3.0	13.0	0.5450333333333334	0.944025425151957
3.0	14.0	NaN	NaN
4.0	1.0	1.614781012658228	0.008558098218367368
4.0	2.0	1.6159307692307692	0.011475827873170003
4.0	3.0	1.5963236842105264	0.18592361145977565
4.0	4.0	1.617358333333333	0.011255180340938217
4.0	5.0	1.6192202898550725	0.012313270933883447
4.0	6.0	1.6241500000000002	0.015555634920432463
4.0	7.0	1.5710537037037042	0.3115901006692613
4.0	8.0	1.540823529411765	0.391536133290421
4.0	9.0	1.652165	0.030318281353179106
4.0	10.0	1.1372399999999998	0.7848230744710698
4.0	11.0	1.6382333333333332	0.014281409827697938
4.0	12.0	1.63925	0.006434671708797502
4.0	13.0	NaN	NaN
5.0	1.0	1.613668055555556	0.008534186865874153
5.0	2.0	1.5940859154929576	0.1921051165346534
5.0	3.0	1.6181652173913044	0.01195867671814507
5.0	4.0	1.619380303030303	0.013437848038535039
5.0	5.0	1.622787931034483	0.017196450853593965
5.0	6.0	1.5945882352941176	0.2284551200100876
5.0	7.0	1.6256948717948718	0.015106881469922524
5.0	8.0	1.5903757575757578	0.28689680748300317
5.0	9.0	1.385745	0.5973707413367876
5.0	10.0	1.6439600000000003	0.03164168137125458
5.0	11.0	1.6321166666666667	0.023911872922601975
5.0	12.0	1.635725	0.007200173609017991
5.0	13.0	1.64295	0.026375082938258142
5.0	14.0	1.6269	0.012586500705120416
5.0	15.0	1.6560000000000001	0.013717871555018924
6.0	1.0	1.6166424242424244	0.011883784175940165
6.0	2.0	1.618681538461538	0.013283000088314158
6.0	3.0	1.6172620689655168	0.009541889687172973
6.0	4.0	1.6258103448275867	0.01697745346613552
6.0	5.0	1.596516	0.23164003862432234
6.0	6.0	1.5945675000000001	0.2593939034013615
6.0	7.0	1.555847619047619	0.3574336464563005
6.0	8.0	1.4999916666666666	0.4728226468548095
6.0	9.0	1.6425125000000003	0.024527794001324814
6.0	10.0	1.30808	0.7313734798309275
6.0	11.0	1.6311	0.009109884741312553
6.0	12.0	0.81965	1.1591601463991072
7.0	1.0	1.617235714285714	0.01075841199115503
7.0	2.0	1.617458181818182	0.01074998175552442
7.0	3.0	1.624826923076923	0.01701004449953965
7.0	4.0	1.5899795454545456	0.24621750318408964
7.0	5.0	1.6283333333333339	0.025560536803178963
7.0	6.0	1.6391040000000001	0.026663450014329838
7.0	7.0	1.6332200000000001	0.02028937793878503
7.0	8.0	1.6371300000000002	0.017310115860707347
7.0	9.0	1.6346500000000002	0.02305030730091606
7.0	10.0	1.6202999999999999	0.0014142135623730963
7.0	11.0	NaN	NaN
7.0	12.0	NaN	NaN
7.0	13.0	NaN	NaN
8.0	1.0	1.6179918918918919	0.011694262087270233
8.0	2.0	1.6219694444444444	0.011011651477138576
8.0	3.0	1.53188	0.38305554565731526
8.0	4.0	1.6338185185185186	0.02192608276489682
8.0	5.0	1.5603238095238094	0.35867715693191543
8.0	6.0	1.6398454545454548	0.014024219310632883
8.0	7.0	1.6386	0.021811846933872163
8.0	8.0	1.6499000000000001	0.024104356452724403
8.0	9.0	0.8514	1.2040614270044532
9.0	1.0	1.6178434782608695	0.00766798694022198
9.0	2.0	1.621522727272727	0.018501323808959795
9.0	3.0	1.5442857142857147	0.35401777961807834
9.0	4.0	1.435029411764706	0.5402748348811763
9.0	5.0	1.5003916666666663	0.4739170688064111
9.0	6.0	1.6338666666666668	0.01171454935824104
9.0	7.0	1.32182	0.7397892179533303
9.0	8.0	NaN	NaN
10.0	1.0	1.62325625	0.015892093159807476
10.0	2.0	1.5071357142857138	0.434125140779871
10.0	3.0	1.62315	0.009272981279943478
