# RLS IN LINEAGE
# original file "wt_unlimCap_noRe_3gen_perturbed.txt" 
# mother	daughter	rlsMean	rlsStd
0.0	0.0	7.7	1.636391694484477
0.0	1.0	10.0	2.1081851067789197
0.0	2.0	8.6	1.577621275493231
0.0	3.0	8.3	1.2516655570345725
0.0	4.0	8.0	1.5634719199411433
0.0	5.0	6.4	2.503331114069145
0.0	6.0	4.7	2.0575065816014617
0.0	7.0	5.0	2.943920288775949
0.0	8.0	5.0	0.0
0.0	9.0	4.5	1.7320508075688772
0.0	10.0	2.5	2.1213203435596424
1.0	1.0	10.850574712643677	2.2126945355663548
1.0	2.0	10.068965517241379	2.0219326665592594
1.0	3.0	9.69767441860465	1.8977991429198469
1.0	4.0	8.744186046511627	2.1485209495980793
1.0	5.0	8.341176470588236	2.4954861210578105
1.0	6.0	7.219512195121951	1.9753067600111478
1.0	7.0	6.883116883116883	2.4385825583837257
1.0	8.0	5.611111111111111	2.0248843163308594
1.0	9.0	4.9818181818181815	1.9292188890547184
1.0	10.0	4.410256410256411	2.1363760352762258
1.0	11.0	4.333333333333333	1.460593486680443
1.0	12.0	3.5833333333333335	1.378954368902449
1.0	13.0	3.0	1.4142135623730951
1.0	14.0	NaN	NaN
2.0	1.0	10.458823529411765	2.044463727429056
2.0	2.0	9.552941176470588	2.0558041084239727
2.0	3.0	9.25	2.052767746650056
2.0	4.0	8.634146341463415	1.934177306986873
2.0	5.0	7.617283950617284	2.2448157008681573
2.0	6.0	6.9	2.225286213990734
2.0	7.0	6.041666666666667	2.184693874194657
2.0	8.0	5.47457627118644	2.1683931139598775
2.0	9.0	4.682926829268292	1.9292359159812973
2.0	10.0	4.592592592592593	2.2232903415928256
2.0	11.0	4.294117647058823	1.9610171430393253
2.0	12.0	3.1818181818181817	2.442055765873573
2.0	13.0	3.2	1.6431676725154984
2.0	14.0	4.0	3.0
2.0	15.0	NaN	NaN
2.0	16.0	NaN	NaN
2.0	17.0	NaN	NaN
3.0	1.0	10.074074074074074	2.0541286338602176
3.0	2.0	9.777777777777779	2.3398717913595184
3.0	3.0	8.765432098765432	2.122920187726517
3.0	4.0	8.333333333333334	2.0172416982761563
3.0	5.0	7.573333333333333	1.846642924360335
3.0	6.0	6.625	2.0992117903739658
3.0	7.0	5.833333333333333	2.2571822688635037
3.0	8.0	5.018867924528302	1.8343995668016682
3.0	9.0	4.805555555555555	2.3030345750700865
3.0	10.0	4.636363636363637	1.8909673650694174
3.0	11.0	3.8	2.007130147392398
3.0	12.0	3.0	1.4142135623730951
3.0	13.0	2.3333333333333335	2.3094010767585034
3.0	14.0	NaN	NaN
4.0	1.0	9.367088607594937	2.497060914354465
4.0	2.0	8.679487179487179	2.5456537432166577
4.0	3.0	8.18421052631579	2.4803791447587984
4.0	4.0	7.736111111111111	1.9787110298356134
4.0	5.0	7.072463768115942	1.994985187765373
4.0	6.0	6.203125	2.255009854622468
4.0	7.0	4.944444444444445	2.1927553672557574
4.0	8.0	4.411764705882353	2.0017817375471245
4.0	9.0	3.95	1.3562719801759993
4.0	10.0	4.1	2.330951164939612
4.0	11.0	3.0	1.2649110640673518
4.0	12.0	3.0	1.4142135623730951
4.0	13.0	NaN	NaN
5.0	1.0	9.180555555555555	2.3154495738980096
5.0	2.0	8.309859154929578	2.1553358988849354
5.0	3.0	8.072463768115941	2.3597036240852125
5.0	4.0	7.242424242424242	2.487263594088931
5.0	5.0	6.586206896551724	2.2007533220497493
5.0	6.0	5.803921568627451	2.457800706673649
5.0	7.0	5.564102564102564	1.8034305291344894
5.0	8.0	4.606060606060606	2.331032415307029
5.0	9.0	4.1	2.425739171122029
5.0	10.0	5.1	3.3149493041204847
5.0	11.0	4.833333333333333	2.136976056643281
5.0	12.0	4.0	1.8257418583505538
5.0	13.0	5.0	0.0
5.0	14.0	6.0	1.4142135623730951
5.0	15.0	4.0	0.0
6.0	1.0	8.43939393939394	1.9777904367386883
6.0	2.0	7.7384615384615385	2.6177096565803173
6.0	3.0	7.4655172413793105	2.053798511115178
6.0	4.0	6.241379310344827	2.311757475499829
6.0	5.0	5.38	1.9783522312824904
6.0	6.0	4.4	2.10980616438621
6.0	7.0	4.904761904761905	2.364418784918651
6.0	8.0	4.166666666666667	2.2087978356535665
6.0	9.0	4.25	2.2519832529192065
6.0	10.0	4.2	2.3874672772626644
6.0	11.0	3.3333333333333335	1.1547005383792515
6.0	12.0	2.0	1.4142135623730951
7.0	1.0	8.142857142857142	2.460070741248725
7.0	2.0	7.527272727272727	2.0980991878412714
7.0	3.0	6.326923076923077	2.0743168386020474
7.0	4.0	5.931818181818182	2.4721493075321117
7.0	5.0	5.606060606060606	2.5609982665382893
7.0	6.0	4.72	2.372059583287626
7.0	7.0	4.933333333333334	2.2824381283013584
7.0	8.0	4.1	1.7288403306519922
7.0	9.0	5.0	4.08248290463863
7.0	10.0	5.0	1.4142135623730951
7.0	11.0	NaN	NaN
7.0	12.0	NaN	NaN
7.0	13.0	NaN	NaN
8.0	1.0	7.8108108108108105	2.1322632451333363
8.0	2.0	6.916666666666667	1.9621416870348585
8.0	3.0	5.742857142857143	2.266674905241248
8.0	4.0	5.296296296296297	2.1088606988830363
8.0	5.0	4.142857142857143	1.8784492084087416
8.0	6.0	4.090909090909091	1.2210278829367867
8.0	7.0	4.142857142857143	1.5735915849388864
8.0	8.0	3.5	1.9148542155126762
8.0	9.0	2.0	1.4142135623730951
9.0	1.0	7.608695652173913	1.8025015555353925
9.0	2.0	7.090909090909091	2.5243403836040756
9.0	3.0	5.523809523809524	2.015416771267115
