# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_unlimCap_noRe_3gen_perturbed.txt" 
# daughter	rls	rejuvenation
3.0	19.0	1.5288
1.0	16.0	1.2441
1.0	17.0	1.2441
2.0	14.0	1.2441
1.0	18.0	1.236
1.0	16.0	1.1416
1.0	15.0	1.1416
1.0	16.0	1.1416
2.0	14.0	1.1416
5.0	17.0	1.1178
1.0	12.0	1.1178
4.0	15.0	1.0986
2.0	14.0	1.0986
1.0	16.0	1.0141
1.0	17.0	1.0141
1.0	17.0	0.9989
1.0	15.0	0.9934
1.0	15.0	0.9781
2.0	12.0	0.9781
2.0	11.0	0.9781
3.0	14.0	0.9781
2.0	11.0	0.9728
1.0	16.0	0.9728
1.0	14.0	0.971
4.0	14.0	0.971
3.0	12.0	0.9704
2.0	15.0	0.9613
2.0	10.0	0.9613
2.0	16.0	0.8693
1.0	9.0	0.8562
2.0	13.0	0.8562
1.0	10.0	0.8515
2.0	16.0	0.8515
1.0	13.0	0.8515
1.0	12.0	0.8515
2.0	12.0	0.8515
3.0	13.0	0.8383
1.0	15.0	0.8383
1.0	14.0	0.8383
3.0	14.0	0.8383
2.0	14.0	0.8383
2.0	15.0	0.8383
1.0	9.0	0.8383
1.0	12.0	0.8383
1.0	11.0	0.8383
1.0	15.0	0.8381
2.0	14.0	0.8381
1.0	11.0	0.8339
1.0	12.0	0.8339
3.0	11.0	0.8339
1.0	12.0	0.8339
4.0	13.0	0.8339
1.0	14.0	0.8339
1.0	8.0	0.8339
2.0	13.0	0.8323
1.0	11.0	0.8323
1.0	10.0	0.8323
1.0	12.0	0.8318
1.0	14.0	0.8318
1.0	11.0	0.8318
1.0	11.0	0.8294
1.0	12.0	0.8294
2.0	17.0	0.824
1.0	13.0	0.824
1.0	10.0	0.824
1.0	14.0	0.824
2.0	10.0	0.824
2.0	12.0	0.824
1.0	7.0	0.7244
1.0	12.0	0.7244
4.0	12.0	0.7244
1.0	12.0	0.7244
1.0	12.0	0.7244
1.0	8.0	0.7244
2.0	11.0	0.7244
2.0	11.0	0.7244
2.0	13.0	0.7244
2.0	13.0	0.7135
2.0	13.0	0.7135
2.0	12.0	0.7135
1.0	8.0	0.7135
1.0	11.0	0.7135
2.0	10.0	0.7135
1.0	10.0	0.7135
1.0	12.0	0.7096
3.0	11.0	0.7096
1.0	9.0	0.7096
3.0	13.0	0.7096
1.0	13.0	0.6986
2.0	13.0	0.6986
1.0	9.0	0.6986
1.0	13.0	0.6986
1.0	12.0	0.6986
2.0	11.0	0.6986
1.0	13.0	0.6984
2.0	13.0	0.6984
1.0	8.0	0.6984
1.0	11.0	0.6984
1.0	17.0	0.6984
3.0	11.0	0.6984
2.0	11.0	0.6984
4.0	13.0	0.6949
1.0	12.0	0.6949
1.0	14.0	0.6949
1.0	10.0	0.6949
1.0	10.0	0.6949
2.0	13.0	0.6949
1.0	9.0	0.6949
1.0	12.0	0.6949
2.0	8.0	0.6949
3.0	12.0	0.6949
1.0	9.0	0.6949
1.0	9.0	0.6949
5.0	15.0	0.6936
1.0	14.0	0.6936
2.0	12.0	0.6936
3.0	11.0	0.6936
3.0	10.0	0.6936
1.0	7.0	0.6936
1.0	11.0	0.6936
1.0	8.0	0.6936
1.0	10.0	0.6936
2.0	11.0	0.6936
3.0	11.0	0.6936
1.0	9.0	0.6936
1.0	9.0	0.6936
5.0	15.0	0.6932
3.0	11.0	0.6932
1.0	13.0	0.6932
2.0	9.0	0.6932
2.0	11.0	0.6932
1.0	10.0	0.6932
1.0	11.0	0.6912
1.0	12.0	0.6912
2.0	10.0	0.6912
2.0	12.0	0.6912
2.0	9.0	0.6912
2.0	9.0	0.6912
3.0	11.0	0.6912
1.0	11.0	0.6867
3.0	10.0	0.6867
1.0	8.0	0.6867
1.0	6.0	0.6867
3.0	10.0	0.5795
