# =============================================
# WT SURFACES
# =============================================
# Q 2.5526 
# s 0.637 
# g 1.05 
# maximal time 1000.0 
# expected RLS 24 pm 0 
# =============================================
# k1	k2	R	re	RLS	lifetime	tau	eta
0.315000	0.015000	1000.000000	0.210700	24.000000	39.473281	0.678163	0.833333
0.315000	0.015000	0.318310	0.200700	24.000000	38.494055	0.724553	0.875000
0.315000	0.020000	1000.000000	0.228200	24.000000	40.539416	0.674470	0.833333
0.315000	0.020000	0.318310	0.213200	24.000000	38.571221	0.728063	0.875000
0.315000	0.025000	1000.000000	0.245700	24.000000	41.178212	0.630956	0.791667
0.315000	0.025000	0.318310	0.225700	24.000000	38.566074	0.732325	0.875000
0.315000	0.030000	1000.000000	0.265700	24.000000	43.003999	0.577603	0.750000
0.315000	0.030000	0.318310	0.240700	24.000000	40.056911	0.672586	0.833333
0.315000	0.035000	1000.000000	0.285700	24.000000	44.225858	0.574865	0.750000
0.315000	0.035000	0.318310	0.253200	24.000000	39.653174	0.682636	0.833333
0.315000	0.040000	0.318310	0.268200	24.000000	40.883076	0.671386	0.833333
0.315000	0.045000	0.318310	0.280700	24.000000	40.212701	0.685065	0.833333
0.315000	0.050000	0.318310	0.295075	24.000000	40.644786	0.685010	0.833333
0.320000	0.005000	1000.000000	0.163200	24.000000	37.406731	0.735660	0.875000
0.320000	0.005000	0.318310	0.160700	24.000000	37.384530	0.733472	0.875000
0.320000	0.010000	1000.000000	0.180700	24.000000	39.411321	0.671983	0.833333
0.320000	0.010000	0.318310	0.173200	24.000000	37.784590	0.732702	0.875000
0.320000	0.015000	1000.000000	0.195388	24.000000	38.946016	0.684669	0.833333
0.320000	0.015000	0.318310	0.185700	24.000000	38.064660	0.733295	0.875000
0.320000	0.020000	1000.000000	0.213200	24.000000	40.312158	0.676751	0.833333
0.320000	0.020000	0.318310	0.198200	24.000000	38.230569	0.731895	0.875000
0.320000	0.025000	1000.000000	0.230700	24.000000	41.071781	0.632326	0.791667
0.320000	0.025000	0.318310	0.210700	24.000000	38.303194	0.735143	0.875000
0.320000	0.030000	1000.000000	0.250700	24.000000	43.152588	0.576153	0.750000
0.320000	0.030000	0.318310	0.225700	24.000000	39.857132	0.674948	0.833333
0.320000	0.035000	1000.000000	0.270700	24.000000	44.608731	0.571181	0.750000
0.320000	0.035000	0.318310	0.238200	24.000000	39.523473	0.684343	0.833333
0.320000	0.040000	1000.000000	0.290700	24.000000	45.212198	0.533379	0.708333
0.320000	0.040000	0.318310	0.253200	24.000000	40.922335	0.670703	0.833333
0.320000	0.045000	0.318310	0.265700	24.000000	40.222729	0.683358	0.833333
0.320000	0.050000	0.318310	0.280700	24.000000	41.155351	0.677032	0.833333
0.320000	0.055000	0.318310	0.294450	24.000000	41.095445	0.681906	0.833333
0.325000	0.005000	1000.000000	0.150700	24.000000	38.703467	0.715404	0.875000
0.325000	0.005000	0.318310	0.145700	24.000000	36.829119	0.739663	0.875000
0.325000	0.010000	1000.000000	0.165700	24.000000	38.795933	0.679773	0.833333
0.325000	0.010000	0.318310	0.158200	24.000000	37.270513	0.728788	0.869565
0.325000	0.015000	1000.000000	0.180700	24.000000	38.753534	0.687184	0.833333
0.325000	0.015000	0.318310	0.170700	24.000000	37.614309	0.738286	0.875000
0.325000	0.020000	1000.000000	0.198200	24.000000	40.022111	0.679713	0.833333
