# RLS IN LINEAGE
# original file "wt_unlimCap_highRe_3gen.txt" 
# mother	daughter	rlsMean	rlsStd
0.0	0.0	23.6	3.977715704047013
0.0	1.0	25.6	3.1692971530679235
0.0	2.0	23.3	5.056349144063003
0.0	3.0	22.8	3.8815804341359033
0.0	4.0	24.3	4.110960958218893
0.0	5.0	21.1	3.4140233677518315
0.0	6.0	22.2	3.7357135269658404
0.0	7.0	22.3	6.129165250396392
0.0	8.0	21.4	3.5023801430836525
0.0	9.0	20.5	4.034572812303401
0.0	10.0	23.4	3.864367132317183
0.0	11.0	20.4	2.412928142780514
0.0	12.0	22.2	3.675746333890726
0.0	13.0	19.7	3.1287200080686173
0.0	14.0	22.7	4.423422506008969
0.0	15.0	25.3	7.972870666621068
0.0	16.0	22.4	2.796823595120404
0.0	17.0	20.9	3.1073389830457114
0.0	18.0	22.0	2.943920288775949
0.0	19.0	19.7	3.198958163736021
0.0	20.0	19.0	2.23606797749979
0.0	21.0	19.77777777777778	1.3017082793177759
0.0	22.0	18.571428571428573	3.4572215654165057
0.0	23.0	19.5	1.0
0.0	24.0	22.5	4.654746681256314
0.0	25.0	19.5	0.7071067811865476
0.0	26.0	18.5	3.5355339059327378
0.0	27.0	20.0	4.242640687119285
0.0	28.0	22.5	7.7781745930520225
0.0	29.0	17.5	0.7071067811865476
0.0	30.0	NaN	NaN
0.0	31.0	NaN	NaN
0.0	32.0	NaN	NaN
1.0	1.0	23.54471544715447	4.1742691551843745
1.0	2.0	23.048780487804876	3.72931827996088
1.0	3.0	22.878048780487806	3.681360364917602
1.0	4.0	23.020325203252032	3.9522137294431507
1.0	5.0	22.21951219512195	3.477124275958931
1.0	6.0	22.670731707317074	4.265824928376922
1.0	7.0	22.321138211382113	4.526398794419883
1.0	8.0	22.410569105691057	3.577442091731843
1.0	9.0	22.296747967479675	4.798527579595507
1.0	10.0	22.13821138211382	4.982131669422413
1.0	11.0	21.98780487804878	3.7356328396661826
1.0	12.0	21.821138211382113	3.7969537098438786
1.0	13.0	22.01219512195122	3.8507690271616566
1.0	14.0	21.76829268292683	3.913239006520088
1.0	15.0	21.747967479674795	3.9715179762494857
1.0	16.0	21.555102040816326	4.367590269717979
1.0	17.0	21.44672131147541	3.489140930415559
1.0	18.0	21.698744769874477	3.888309143780762
1.0	19.0	21.39189189189189	3.8436086723636174
1.0	20.0	21.305418719211822	4.003132461213855
1.0	21.0	21.521505376344088	4.279690553662271
1.0	22.0	22.05960264900662	5.8014156755967425
1.0	23.0	21.608	3.893534756904811
1.0	24.0	21.489795918367346	4.3417059167105805
1.0	25.0	20.623376623376622	3.814925539174565
1.0	26.0	21.64	4.561417609937167
1.0	27.0	20.842105263157894	3.752666193013677
1.0	28.0	21.107142857142858	2.897499377998664
1.0	29.0	20.25	2.807414993792051
1.0	30.0	22.7	4.243881044019669
1.0	31.0	21.307692307692307	2.6262969933798233
1.0	32.0	23.1	5.216427044549853
1.0	33.0	21.0	4.47213595499958
1.0	34.0	21.0	2.0
1.0	35.0	23.0	8.717797887081348
1.0	36.0	19.333333333333332	1.5275252316519468
1.0	37.0	20.5	2.1213203435596424
1.0	38.0	NaN	NaN
1.0	39.0	NaN	NaN
1.0	40.0	NaN	NaN
2.0	1.0	23.203252032520325	4.137354670176656
2.0	2.0	23.369918699186993	4.229795864410916
2.0	3.0	23.59349593495935	4.2892126642981045
2.0	4.0	22.735772357723576	3.8996730387549126
2.0	5.0	22.65447154471545	4.079630876310024
2.0	6.0	22.646341463414632	3.961154082148114
2.0	7.0	22.24390243902439	4.098464547557519
2.0	8.0	22.45528455284553	4.61630125377861
2.0	9.0	22.028455284552845	3.6849394606430934
2.0	10.0	22.077235772357724	4.029246407651468
2.0	11.0	21.96747967479675	4.056609541103624
2.0	12.0	22.170731707317074	3.705940773061481
2.0	13.0	21.878048780487806	4.41904111097282
2.0	14.0	21.808943089430894	3.6444088153052334
2.0	15.0	21.788617886178862	4.167418880168014
2.0	16.0	22.048780487804876	3.9015510438204046
2.0	17.0	21.704918032786885	4.04946478115687
2.0	18.0	21.278008298755186	3.798230642891175
2.0	19.0	21.69333333333333	4.319722213291035
2.0	20.0	20.818181818181817	3.7167849115128346
2.0	21.0	21.123529411764707	3.506887460254911
2.0	22.0	21.420289855072465	3.5284280203700953
2.0	23.0	21.803571428571427	5.5293472330539
2.0	24.0	21.266666666666666	3.537281378482888
2.0	25.0	21.144927536231883	3.6633131994975474
2.0	26.0	21.036363636363635	4.027514794619061
2.0	27.0	21.365853658536587	3.8062849181385223
2.0	28.0	22.137931034482758	3.2702570664686554
2.0	29.0	21.125	2.6044833140823407
2.0	30.0	20.727272727272727	3.003028774118193
2.0	31.0	22.375	5.578978401105349
2.0	32.0	21.333333333333332	1.505545305418162
2.0	33.0	22.0	4.242640687119285
2.0	34.0	NaN	NaN
2.0	35.0	NaN	NaN
2.0	36.0	NaN	NaN
2.0	37.0	NaN	NaN
2.0	38.0	NaN	NaN
3.0	1.0	23.15447154471545	3.94458041083641
3.0	2.0	23.252032520325205	3.8195918062386003
3.0	3.0	22.865853658536587	4.098069814811382
