# GENERATION TIME IN LINEAGE
# original file "wt_decCap_highRe_3gen.txt" 
# mother	daughter	genTMean	genTStd
0.0	0.0	1.6602299999999999	0.012161693047342418
0.0	1.0	1.65223	0.028587256290561053
0.0	2.0	1.6640599999999999	0.014268940628745584
0.0	3.0	1.65958	0.0227627766320368
0.0	4.0	1.65284	0.024839404179649725
0.0	5.0	1.65021	0.02002800539244984
0.0	6.0	1.6744500000000002	0.028648996492023966
0.0	7.0	1.66695	0.025620532130825564
0.0	8.0	1.6709299999999998	0.028091400423933616
0.0	9.0	1.6581	0.01248412325048636
0.0	10.0	1.67741	0.026442787296349805
0.0	11.0	1.6747600000000002	0.022194353636304294
0.0	12.0	1.67693	0.015415508064572175
0.0	13.0	1.6859799999999996	0.017507636429093865
0.0	14.0	1.6763900000000003	0.0214386178037049
0.0	15.0	1.68016	0.016850268708704767
0.0	16.0	1.68265	0.019061319180185
0.0	17.0	1.6859300000000002	0.02021391434960915
0.0	18.0	1.69998	0.01835736606621135
0.0	19.0	1.6875125000000002	0.02764134778086731
0.0	20.0	1.6919250000000001	0.02507079974791392
0.0	21.0	1.706525	0.022998990661082748
0.0	22.0	1.68808	0.010960930617424834
0.0	23.0	1.70126	0.015524593392420988
0.0	24.0	1.70914	0.024601483695094538
0.0	25.0	1.68265	0.022132442251138855
1.0	1.0	1.6447571428571428	0.022030392614698534
1.0	2.0	1.6500913419913419	0.020915962562845617
1.0	3.0	1.6525757575757578	0.02028660773091281
1.0	4.0	1.657188311688312	0.018899903202139804
1.0	5.0	1.6583303030303027	0.020161000652226504
1.0	6.0	1.6638125541125537	0.018990610219043094
1.0	7.0	1.6639060606060607	0.019900711317323346
1.0	8.0	1.6666060606060609	0.021040572764062047
1.0	9.0	1.668660606060606	0.019870352780740792
1.0	10.0	1.6715935064935068	0.02037035359234423
1.0	11.0	1.6722294372294373	0.021767562607141508
1.0	12.0	1.6731030303030303	0.02042330806986148
1.0	13.0	1.675004329004329	0.020692598516188224
1.0	14.0	1.6790402597402592	0.020669403515132512
1.0	15.0	1.681225541125541	0.020061100072502343
1.0	16.0	1.6827519480519486	0.0210711131980725
1.0	17.0	1.6834878260869566	0.021657489190767813
1.0	18.0	1.6845589519650654	0.021618806196294586
1.0	19.0	1.6868313901345287	0.02233602917732185
1.0	20.0	1.6891941747572812	0.022408175011911006
1.0	21.0	1.693396590909091	0.02294294263783783
1.0	22.0	1.6933503546099289	0.022051438644721685
1.0	23.0	1.6919936936936937	0.019403890328203784
1.0	24.0	1.6951394736842105	0.020199993920443762
1.0	25.0	1.7024596774193548	0.02491263067416508
1.0	26.0	1.6934720930232559	0.021888193442621454
1.0	27.0	1.6956387096774193	0.02084429062388316
1.0	28.0	1.695172727272727	0.017773071707560255
1.0	29.0	1.703818181818182	0.02674097298834948
1.0	30.0	1.6998571428571425	0.02083417522108467
1.0	31.0	1.7055399999999998	0.027346444010145014
1.0	32.0	1.67665	0.008273149339882636
1.0	33.0	NaN	NaN
1.0	34.0	NaN	NaN
1.0	35.0	NaN	NaN
1.0	36.0	NaN	NaN
1.0	37.0	NaN	NaN
1.0	38.0	NaN	NaN
1.0	39.0	NaN	NaN
1.0	40.0	NaN	NaN
1.0	41.0	NaN	NaN
1.0	42.0	NaN	NaN
1.0	43.0	NaN	NaN
1.0	44.0	NaN	NaN
1.0	45.0	NaN	NaN
1.0	46.0	NaN	NaN
2.0	1.0	1.6442086580086581	0.021192702054366307
2.0	2.0	1.651795238095238	0.020910102068857066
2.0	3.0	1.6517467532467534	0.021158139051164527
2.0	4.0	1.6581584415584414	0.022633420944427662
2.0	5.0	1.6606822510822514	0.020575844557597693
2.0	6.0	1.66062987012987	0.020362154141627755
2.0	7.0	1.6660896103896103	0.021225273600421767
2.0	8.0	1.670312121212121	0.021702482933546926
2.0	9.0	1.6697982683982682	0.019927546949469258
2.0	10.0	1.6719558441558442	0.021830065985121015
2.0	11.0	1.6733770562770565	0.02102531480385412
2.0	12.0	1.674752813852814	0.02215769526460529
2.0	13.0	1.679618614718615	0.019318147579380877
2.0	14.0	1.6780757575757577	0.020237960913184493
2.0	15.0	1.6797606060606056	0.02175966067461926
2.0	16.0	1.6809099567099566	0.020670936023438183
2.0	17.0	1.6825463203463207	0.01963917716910616
2.0	18.0	1.6874354978354977	0.021266907229793606
2.0	19.0	1.6884008810572686	0.022605996133044124
2.0	20.0	1.6917754716981133	0.022695091275932163
2.0	21.0	1.6954071038251366	0.023206270558071923
2.0	22.0	1.6920947368421053	0.020229401479295587
2.0	23.0	1.6959495049504953	0.024591728787388554
2.0	24.0	1.6954615384615381	0.021330078943413888
2.0	25.0	1.6976250000000002	0.022372356613140507
2.0	26.0	1.698891176470588	0.02559082894020243
2.0	27.0	1.6967250000000003	0.02420460754310611
2.0	28.0	1.6907500000000002	0.022361187966490677
2.0	29.0	1.7016200000000001	0.019472932781456214
2.0	30.0	1.703616666666667	0.025644135131968674
2.0	31.0	1.6902599999999999	0.017093946296861957
2.0	32.0	1.71905	0.016290385712642543
3.0	1.0	1.646838528138528	0.02068591908180508
3.0	2.0	1.6503766233766237	0.021583598217792682
3.0	3.0	1.6527727272727275	0.021489855865927526
3.0	4.0	1.6571679653679656	0.02166119179985487
3.0	5.0	1.6604419913419914	0.02086963913814627
3.0	6.0	1.663739393939394	0.021931659814975
3.0	7.0	1.6628735930735932	0.01959364902847558
3.0	8.0	1.6666004329004327	0.02007873523176782
3.0	9.0	1.6698272727272727	0.021650733312394446
3.0	10.0	1.6726051948051945	0.02032625992311143
3.0	11.0	1.6750887445887443	0.021104251656533752
3.0	12.0	1.6755783549783547	0.022131530898038532
3.0	13.0	1.6772194805194809	0.020424210094636124
3.0	14.0	1.6771709956709955	0.021021874287740053
3.0	15.0	1.6796372294372297	0.022274637539318097
3.0	16.0	1.6796826839826842	0.020159620719337083
3.0	17.0	1.6858530434782608	0.02187702159038619
3.0	18.0	1.6860669603524225	0.02221533017314758
3.0	19.0	1.6862597285067873	0.021578043510572003
3.0	20.0	1.6903580487804883	0.022470941935490766
3.0	21.0	1.6901896174863387	0.022172033452872487
3.0	22.0	1.696884713375796	0.02379976881380147
3.0	23.0	1.6999448598130842	0.024861196686557747
3.0	24.0	1.6910653846153842	0.02033822341475114
3.0	25.0	1.6975314814814817	0.024606816236786327
3.0	26.0	1.6987675675675675	0.02307256733359691
3.0	27.0	1.695936	0.024240442790235236
3.0	28.0	1.6995944444444444	0.021281847338607423
