# GROWTH PER CELL CYCLE IN LINEAGE
# original file "wt_decCap_highRe_3gen.txt" 
# mother	daughter	growthCycleMean	growthCycleStd
0.0	0.0	1.6079	0.0049112116631234515
0.0	1.0	1.6127600000000002	0.004791242010168162
0.0	2.0	1.6133199999999999	0.0066496115174748014
0.0	3.0	1.61084	0.005055074458183338
0.0	4.0	1.614	0.004198412398355693
0.0	5.0	1.6113700000000002	0.006133704698902075
0.0	6.0	1.6116300000000003	0.005180315305719025
0.0	7.0	1.6113	0.0031223210739591035
0.0	8.0	1.6099799999999997	0.004828572367803117
0.0	9.0	1.6084600000000002	0.0037509110004548723
0.0	10.0	1.61017	0.006573693364041606
0.0	11.0	1.6106500000000001	0.006192333970321731
0.0	12.0	1.6098199999999998	0.005470283356463343
0.0	13.0	1.6099599999999998	0.006737490465876572
0.0	14.0	1.6092199999999999	0.0021755203719774677
0.0	15.0	1.60974	0.005121675073211492
0.0	16.0	1.6097499999999996	0.004504133903673662
0.0	17.0	1.60947	0.004560470248657372
0.0	18.0	1.6062699999999999	0.005004009503499247
0.0	19.0	1.6093499999999998	0.005050601095767907
0.0	20.0	1.60765	0.00580172388174408
0.0	21.0	1.6067375	0.004518829652528584
0.0	22.0	1.6070600000000002	0.003488982659744871
0.0	23.0	1.60866	0.006395545324677223
0.0	24.0	1.6107599999999997	0.0053687056168130725
0.0	25.0	1.6045500000000001	0.00601040764008562
1.0	1.0	1.6144385281385283	0.006050701396484717
1.0	2.0	1.6122389610389614	0.0054470931021686035
1.0	3.0	1.6117181818181816	0.005518389666010266
1.0	4.0	1.6121558441558441	0.005249641648386734
1.0	5.0	1.6111103896103895	0.004809851785176941
1.0	6.0	1.6103316017316018	0.005373266882309006
1.0	7.0	1.6097372294372296	0.00524441724985798
1.0	8.0	1.6097935064935065	0.005139861383573389
1.0	9.0	1.609256277056277	0.005000699254699233
1.0	10.0	1.6092891774891773	0.005232699421290883
1.0	11.0	1.6096415584415584	0.0051513615924677954
1.0	12.0	1.6087567099567102	0.00512026115993549
1.0	13.0	1.6086246753246753	0.004841033554148176
1.0	14.0	1.608845454545455	0.0051051690459907725
1.0	15.0	1.6087766233766232	0.0051619737404086565
1.0	16.0	1.6083606060606062	0.005151104362448178
1.0	17.0	1.6085186956521738	0.00529647225788861
1.0	18.0	1.6080445414847162	0.004867492274142981
1.0	19.0	1.607578923766816	0.004914471616454514
1.0	20.0	1.6077665048543683	0.00514070265838509
1.0	21.0	1.607322727272727	0.0048969081154243725
1.0	22.0	1.6065035460992905	0.004974138997246774
1.0	23.0	1.6078738738738743	0.005294606375818372
1.0	24.0	1.6063552631578948	0.004760207130979131
1.0	25.0	1.6070387096774195	0.005931227579755776
1.0	26.0	1.6061279069767442	0.005041557090413899
1.0	27.0	1.604958064516129	0.0046982105950775475
1.0	28.0	1.60785	0.004834671407556864
1.0	29.0	1.6061727272727273	0.007994384392696044
1.0	30.0	1.6074428571428572	0.004521746396713359
1.0	31.0	1.60778	0.0031917080066948262
1.0	32.0	1.6098	0.0036769552621701133
1.0	33.0	NaN	NaN
1.0	34.0	NaN	NaN
1.0	35.0	NaN	NaN
1.0	36.0	NaN	NaN
1.0	37.0	NaN	NaN
1.0	38.0	NaN	NaN
1.0	39.0	NaN	NaN
1.0	40.0	NaN	NaN
1.0	41.0	NaN	NaN
1.0	42.0	NaN	NaN
1.0	43.0	NaN	NaN
1.0	44.0	NaN	NaN
1.0	45.0	NaN	NaN
1.0	46.0	NaN	NaN
2.0	1.0	1.6137645021645024	0.005621267425454292
2.0	2.0	1.6123636363636362	0.005028291500601351
2.0	3.0	1.6120216450216454	0.005470868214576966
2.0	4.0	1.6110982683982684	0.005228283992885031
2.0	5.0	1.6111939393939396	0.004997334731004341
2.0	6.0	1.6107948051948053	0.005396074968954893
2.0	7.0	1.6104519480519481	0.005267619140179493
2.0	8.0	1.6103766233766235	0.004805826973234527
2.0	9.0	1.6091887445887447	0.00505716484239708
2.0	10.0	1.6095138528138528	0.005324290387907457
2.0	11.0	1.6094796536796534	0.004831083401894705
2.0	12.0	1.6092722943722946	0.005436800003511766
2.0	13.0	1.6088588744588745	0.0051908109893974335
2.0	14.0	1.6089450216450216	0.004819422559174211
2.0	15.0	1.6084493506493505	0.004879592553641536
2.0	16.0	1.6078965367965368	0.00542333012946891
2.0	17.0	1.607669696969697	0.004996123662090827
2.0	18.0	1.6082575757575754	0.004820023562284212
2.0	19.0	1.6077629955947135	0.004937525249401369
2.0	20.0	1.6074783018867924	0.0050373299313567375
2.0	21.0	1.6072322404371586	0.004926581734856733
2.0	22.0	1.6066015037593986	0.005172889482713168
2.0	23.0	1.606619801980198	0.005278030310674227
2.0	24.0	1.6069384615384616	0.005002888276674903
2.0	25.0	1.6065437500000002	0.004725526256858096
2.0	26.0	1.6063500000000002	0.00497510468901578
2.0	27.0	1.6055949999999999	0.005959201200443605
2.0	28.0	1.6085250000000002	0.003712907461569963
2.0	29.0	1.6063800000000001	0.0065276846329052314
2.0	30.0	1.6094	0.007472884315978648
2.0	31.0	1.60798	0.0033312159941979165
2.0	32.0	1.6054	0.003610170817749926
3.0	1.0	1.6132138528138522	0.005623644057245254
3.0	2.0	1.612731601731602	0.005553079563691903
3.0	3.0	1.6115575757575757	0.005103717418588247
3.0	4.0	1.6107251082251082	0.0054635529021254394
3.0	5.0	1.61111038961039	0.005543854829383867
3.0	6.0	1.6106506493506496	0.004953960823157569
3.0	7.0	1.6099138528138528	0.004807781586858715
3.0	8.0	1.6099034632034632	0.005256423494551675
3.0	9.0	1.6099008658008656	0.004926670904744033
3.0	10.0	1.6096030303030304	0.00515577678488891
3.0	11.0	1.6089679653679652	0.005590373303131074
3.0	12.0	1.6097623376623373	0.004883976612869232
3.0	13.0	1.6094199134199134	0.004598822343708556
3.0	14.0	1.6092597402597402	0.004980455533738452
3.0	15.0	1.6088887445887448	0.00522961081598386
3.0	16.0	1.6082779220779222	0.005127155920915604
3.0	17.0	1.608580434782609	0.005450027825946244
