# INITIAL DAMAGE IN LINEAGE
# original file "wt_decCap_highRe_3gen.txt" 
# mother	daughter	initDMean	initDStd
0.0	0.0	0.1135	0.0
0.0	1.0	0.05911999999999999	0.0003224903099319424
0.0	2.0	0.06946	0.0005561774297230456
0.0	3.0	0.0779	0.0007527726527090818
0.0	4.0	0.08489	0.0009757618106439259
0.0	5.0	0.09081	0.0011892574714221216
0.0	6.0	0.09585	0.0014096886969193684
0.0	7.0	0.10025999999999999	0.001630405539190245
0.0	8.0	0.10419	0.0018864723103660392
0.0	9.0	0.10772	0.0021862194664661544
0.0	10.0	0.11098	0.0025067907770693594
0.0	11.0	0.11404	0.002874098892599984
0.0	12.0	0.11699	0.0033053660076373466
0.0	13.0	0.11988999999999998	0.0038370851205338408
0.0	14.0	0.12277999999999997	0.004505502808295154
0.0	15.0	0.12578	0.005385329867127712
0.0	16.0	0.12905000000000003	0.006603912981457792
0.0	17.0	0.13277	0.00847257667746687
0.0	18.0	0.13757999999999998	0.01203548457225088
0.0	19.0	0.13592500000000002	0.006171767517147276
0.0	20.0	0.1405	0.008316077372003152
0.0	21.0	0.14735	0.013106486943494812
0.0	22.0	0.14245999999999998	0.002922841083603418
0.0	23.0	0.14826	0.004237098063533582
0.0	24.0	0.15768	0.007597828637183127
0.0	25.0	0.15960000000000002	0.0009899494936611555
1.0	1.0	0.04886103896103896	0.0009803489854424525
1.0	2.0	0.06121645021645022	0.0009287146076760193
1.0	3.0	0.0711987012987013	0.0009659183744197979
1.0	4.0	0.07938095238095236	0.0010672112998802682
1.0	5.0	0.08618528138528138	0.0012049354244107074
1.0	6.0	0.09193766233766235	0.0013796066510333232
1.0	7.0	0.0968969696969697	0.0015788932265409412
1.0	8.0	0.10124372294372296	0.0018005656095267481
1.0	9.0	0.10512294372294372	0.0020489959346707805
1.0	10.0	0.10865021645021643	0.002333645672945798
1.0	11.0	0.1119164502164502	0.0026603346382980124
1.0	12.0	0.11500909090909092	0.0030396159004279447
1.0	13.0	0.1179974025974026	0.003501663233105117
1.0	14.0	0.12095887445887446	0.004073967891358874
1.0	15.0	0.12397878787878787	0.0048194290030747974
1.0	16.0	0.1271757575757576	0.005879050589731912
1.0	17.0	0.13054260869565218	0.007007650976203856
1.0	18.0	0.13445589519650655	0.008768245273824775
1.0	19.0	0.13859372197309416	0.010505307798459351
1.0	20.0	0.1424970873786408	0.012101839862625037
1.0	21.0	0.1454585227272727	0.013332801059451425
1.0	22.0	0.14701560283687942	0.012702796563231618
1.0	23.0	0.14941801801801802	0.013546392999937781
1.0	24.0	0.14873947368421053	0.0127179042188286
1.0	25.0	0.1525887096774194	0.014628616743081706
1.0	26.0	0.15218372093023252	0.013369331112529761
1.0	27.0	0.15320967741935484	0.011905806842005281
1.0	28.0	0.15691818181818185	0.014060333815844739
1.0	29.0	0.15400000000000003	0.013743143745155256
1.0	30.0	0.15595714285714288	0.017762212431906975
1.0	31.0	0.15750000000000003	0.018131050714175388
1.0	32.0	0.15255	0.03528462838120872
1.0	33.0	NaN	NaN
1.0	34.0	NaN	NaN
1.0	35.0	NaN	NaN
1.0	36.0	NaN	NaN
1.0	37.0	NaN	NaN
1.0	38.0	NaN	NaN
1.0	39.0	NaN	NaN
1.0	40.0	NaN	NaN
1.0	41.0	NaN	NaN
1.0	42.0	NaN	NaN
1.0	43.0	NaN	NaN
1.0	44.0	NaN	NaN
1.0	45.0	NaN	NaN
1.0	46.0	NaN	NaN
2.0	1.0	0.0507904761904762	0.0007880604909993395
2.0	2.0	0.06276839826839826	0.000749374543142501
2.0	3.0	0.07246233766233767	0.0007930193748999369
2.0	4.0	0.08041948051948052	0.000897296271323972
2.0	5.0	0.08706190476190476	0.0010342078714286856
2.0	6.0	0.09268917748917749	0.0012002589280849288
2.0	7.0	0.09754805194805197	0.001383531435158694
2.0	8.0	0.10181558441558441	0.0015833699560882876
2.0	9.0	0.10563160173160172	0.0018063165827767787
2.0	10.0	0.10911298701298702	0.0020619334942265258
2.0	11.0	0.11234632034632037	0.0023511277333805544
2.0	12.0	0.11540822510822511	0.0026870821190137376
2.0	13.0	0.11837402597402599	0.003094303430670875
2.0	14.0	0.1213164502164502	0.003581630360590289
2.0	15.0	0.12431341991341992	0.004205549335088415
2.0	16.0	0.12746883116883118	0.005027479091870814
2.0	17.0	0.13094155844155844	0.006219073410279001
2.0	18.0	0.13506190476190477	0.008317787321236643
2.0	19.0	0.13955022026431718	0.010235714735472029
2.0	20.0	0.1440377358490566	0.01217521725590438
2.0	21.0	0.1482207650273224	0.014020616901998868
2.0	22.0	0.1480766917293233	0.012551028493520295
2.0	23.0	0.14956831683168317	0.012089945663178716
2.0	24.0	0.15298333333333333	0.013205925634406392
2.0	25.0	0.15188749999999998	0.012106770129920013
2.0	26.0	0.15461176470588237	0.013595582275044512
2.0	27.0	0.15416999999999997	0.014448496552637542
2.0	28.0	0.1504	0.011872351379264647
2.0	29.0	0.15328	0.010032923579672856
2.0	30.0	0.15330000000000002	0.009455368845264578
2.0	31.0	0.15744000000000002	0.0027500909075883267
2.0	32.0	0.17204999999999998	0.0029034462281915963
3.0	1.0	0.052352813852813845	0.0006944991031880491
3.0	2.0	0.0640012987012987	0.0007171489760627643
3.0	3.0	0.07344155844155845	0.0008124601367105018
3.0	4.0	0.0812008658008658	0.0009548043888895391
3.0	5.0	0.087687012987013	0.0011179582300687408
3.0	6.0	0.09318831168831167	0.0013013010906454217
3.0	7.0	0.09794675324675325	0.0015049990104504401
3.0	8.0	0.10213030303030304	0.0017330393994215187
3.0	9.0	0.10588051948051946	0.001984595389342994
3.0	10.0	0.10930173160173158	0.002269609531020994
3.0	11.0	0.11247445887445888	0.0025960666797888747
3.0	12.0	0.1154939393939394	0.0029822456633065856
3.0	13.0	0.11841341991341992	0.003445039532977183
3.0	14.0	0.12131948051948054	0.004020070482651819
3.0	15.0	0.12429090909090908	0.004787007283802466
3.0	16.0	0.12744805194805195	0.0058926028143533
3.0	17.0	0.13078782608695652	0.007122222407509044
3.0	18.0	0.13434140969162994	0.00837417827137628
3.0	19.0	0.13828642533936647	0.010050648842921468
3.0	20.0	0.14176829268292682	0.010882082751567183
3.0	21.0	0.14518688524590162	0.011270892328088958
3.0	22.0	0.1498910828025478	0.013628130672065579
3.0	23.0	0.15	0.013548341122433081
3.0	24.0	0.15114871794871795	0.013448291965025033
3.0	25.0	0.1517277777777778	0.013634686851357871
3.0	26.0	0.1523513513513514	0.014000964681478632
3.0	27.0	0.15184800000000004	0.013251293018670542
3.0	28.0	0.15296111111111113	0.01393126567827535
3.0	29.0	0.15252500000000002	0.013693072236453266
3.0	30.0	0.1519125	0.013524732635329353
3.0	31.0	0.15431666666666669	0.014559727561553711
3.0	32.0	0.15837500000000002	0.021598977599259953
3.0	33.0	0.14725	0.02001112190757929
3.0	34.0	NaN	NaN
3.0	35.0	NaN	NaN
3.0	36.0	NaN	NaN
3.0	37.0	NaN	NaN
3.0	38.0	NaN	NaN
3.0	39.0	NaN	NaN
3.0	40.0	NaN	NaN
3.0	41.0	NaN	NaN
4.0	1.0	0.053679220779220785	0.0006388857819273766
4.0	2.0	0.06507229437229436	0.0007059458163180005
4.0	3.0	0.07431601731601731	0.000833824963205149
4.0	4.0	0.08192857142857145	0.0010038002325324983
4.0	5.0	0.0882978354978355	0.001187889831205845
