# WT DYNAMICS FOR DIFFERENT REPAIR MECHANISMS
# Q 2.5526
# s 0.637
# g 1.05
# k1 = [0.40 0.40]
# k2 = [0.09 0.14]
# k3 = [1000.00 0.32]
# t	P	D
11.1021	1.0000	0.4637	9.7690	1.0000	0.3838	.	.	.	.	.	.
11.1021	1.0000	0.4637	9.7690	1.0000	0.3838	.	.	.	.	.	.
11.1021	0.5099	0.3452	9.7690	0.5318	0.2857	.	.	.	.	.	.
11.1425	0.5195	0.3472	9.8082	0.5429	0.2876	.	.	.	.	.	.
11.3344	0.5665	0.3572	9.9725	0.5908	0.2965	.	.	.	.	.	.
11.6413	0.6456	0.3760	10.2256	0.6690	0.3124	.	.	.	.	.	.
12.0005	0.7435	0.4022	10.5204	0.7660	0.3346	.	.	.	.	.	.
12.4319	0.8657	0.4399	10.8863	0.8931	0.3679	.	.	.	.	.	.
12.8941	0.9963	0.4876	11.1865	1.0000	0.4001	.	.	.	.	.	.
12.9075	1.0000	0.4891	11.1865	1.0000	0.4001	.	.	.	.	.	.
12.9075	1.0000	0.4891	11.1865	0.5274	0.2978	.	.	.	.	.	.
12.9075	0.5030	0.3640	11.2258	0.5383	0.2997	.	.	.	.	.	.
12.9482	0.5124	0.3659	11.3931	0.5860	0.3085	.	.	.	.	.	.
13.1456	0.5591	0.3757	11.6517	0.6642	0.3243	.	.	.	.	.	.
13.4628	0.6381	0.3942	11.9517	0.7605	0.3464	.	.	.	.	.	.
13.8324	0.7351	0.4201	12.3230	0.8859	0.3795	.	.	.	.	.	.
14.2734	0.8547	0.4572	12.6544	1.0000	0.4147	.	.	.	.	.	.
14.7461	0.9816	0.5043	12.6544	1.0000	0.4147	.	.	.	.	.	.
14.8168	1.0000	0.5120	12.6544	0.5234	0.3087	.	.	.	.	.	.
14.8168	1.0000	0.5120	12.6939	0.5341	0.3105	.	.	.	.	.	.
14.8168	0.4967	0.3811	12.8638	0.5817	0.3192	.	.	.	.	.	.
14.8577	0.5059	0.3829	13.1273	0.6597	0.3349	.	.	.	.	.	.
15.0600	0.5524	0.3924	13.4319	0.7553	0.3569	.	.	.	.	.	.
15.3865	0.6312	0.4106	13.8079	0.8790	0.3899	.	.	.	.	.	.
15.7653	0.7273	0.4361	14.1705	1.0000	0.4280	.	.	.	.	.	.
16.2151	0.8444	0.4727	14.1705	1.0000	0.4280	.	.	.	.	.	.
16.6972	0.9680	0.5192	14.1705	0.5197	0.3186	.	.	.	.	.	.
16.8273	1.0000	0.5329	14.2101	0.5303	0.3204	.	.	.	.	.	.
16.8273	1.0000	0.5329	14.3824	0.5778	0.3289	.	.	.	.	.	.
16.8273	0.4910	0.3967	14.6502	0.6555	0.3446	.	.	.	.	.	.
16.8684	0.4999	0.3984	14.9590	0.7504	0.3664	.	.	.	.	.	.
17.0751	0.5463	0.4076	15.3392	0.8725	0.3993	.	.	.	.	.	.
17.4100	0.6248	0.4255	15.7332	1.0000	0.4404	.	.	.	.	.	.
17.7971	0.7199	0.4506	15.7332	1.0000	0.4404	.	.	.	.	.	.
18.2549	0.8349	0.4867	15.7332	0.5163	0.3278	.	.	.	.	.	.
18.7457	0.9554	0.5325	15.7728	0.5268	0.3296	.	.	.	.	.	.
18.9372	1.0000	0.5523	15.9474	0.5741	0.3380	.	.	.	.	.	.
18.9372	1.0000	0.5523	16.2192	0.6516	0.3535	.	.	.	.	.	.
18.9372	0.4857	0.4111	16.5316	0.7457	0.3753	.	.	.	.	.	.
18.9784	0.4945	0.4127	16.9158	0.8661	0.4080	.	.	.	.	.	.
19.1891	0.5405	0.4217	17.3350	0.9979	0.4513	.	.	.	.	.	.
19.5317	0.6188	0.4392	17.3418	1.0000	0.4521	.	.	.	.	.	.
19.9262	0.7128	0.4639	17.3418	1.0000	0.4521	.	.	.	.	.	.
20.3916	0.8259	0.4994	17.3418	0.5131	0.3365	.	.	.	.	.	.
20.8903	0.9436	0.5446	17.3816	0.5235	0.3382	.	.	.	.	.	.
21.1454	1.0000	0.5704	17.5582	0.5705	0.3466	.	.	.	.	.	.
21.1454	1.0000	0.5704	17.8336	0.6477	0.3620	.	.	.	.	.	.
21.1454	0.4807	0.4245	18.1494	0.7410	0.3836	.	.	.	.	.	.
