# REJUVENATION INDEX IN LINEAGE
# original file "wt_decCap_highRe_3gen.txt" 
# mother	daughter	rejMean	rejStd
0.0	0.0	0.0	0.0
0.0	1.0	0.04981000000000001	0.09877095220762024
0.0	2.0	0.03617999999999998	0.23544325006251507
0.0	3.0	0.054279999999999995	0.15643258256798323
0.0	4.0	-0.058899999999999994	0.16228370904752648
0.0	5.0	-0.013549999999999996	0.19074583583630048
0.0	6.0	0.009079999999999998	0.17682531115953584
0.0	7.0	-0.022759999999999996	0.1849118660936129
0.0	8.0	0.009080000000000001	0.15486757640714283
0.0	9.0	-0.0046300000000000004	0.16828751224549546
0.0	10.0	0.004450000000000008	0.2684122006251662
0.0	11.0	-0.03158	0.13996977292734789
0.0	12.0	-0.018099999999999998	0.15406073117082394
0.0	13.0	-0.009160000000000005	0.1974634942351511
0.0	14.0	-0.03619	0.10607076725783908
0.0	15.0	-0.04529	0.17059271477215354
0.0	16.0	-0.054299999999999994	0.13951915838176332
0.0	17.0	-0.054310000000000004	0.15789099932126172
0.0	18.0	0.05433000000000001	0.16771508280414138
0.0	19.0	-0.09608749999999999	0.1666245431887426
0.0	20.0	-0.056487499999999996	0.1870712044535831
0.0	21.0	-0.028275	0.12329168376542794
0.0	22.0	-0.13576	0.07839003763234204
0.0	23.0	-0.15384	0.1452489690152739
0.0	24.0	-0.22622	0.10617460619187621
0.0	25.0	-0.15825	0.2237992962455423
1.0	1.0	-0.005096103896103896	0.21059163043872692
1.0	2.0	0.016046320346320343	0.20856514834930237
1.0	3.0	0.002533333333333334	0.21419361409444626
1.0	4.0	-0.02623766233766234	0.19316074565588542
1.0	5.0	-0.022721645021645025	0.18808986603049377
1.0	6.0	-0.008051515151515153	0.19993258882378653
1.0	7.0	-0.00860909090909091	0.20861152653665274
1.0	8.0	-0.02018225108225108	0.19167100251562674
1.0	9.0	-0.017634632034632034	0.18843957240341375
1.0	10.0	-0.02151601731601731	0.21462855041996068
1.0	11.0	-0.040354545454545455	0.1971710838743996
1.0	12.0	-0.027590043290043293	0.20885389429288231
1.0	13.0	-0.032526406926406924	0.20007990500447292
1.0	14.0	-0.03798268398268397	0.19251884459693505
1.0	15.0	-0.042100432900432895	0.20948824611581757
1.0	16.0	-0.038362337662337674	0.22376454339266746
1.0	17.0	-0.05509086956521741	0.21061383308042728
1.0	18.0	-0.05886288209606986	0.19966037056050667
1.0	19.0	-0.06247668161434977	0.19844063195010875
1.0	20.0	-0.09024417475728155	0.19240765422645068
1.0	21.0	-0.1082153409090909	0.18587810458284668
1.0	22.0	-0.12413191489361702	0.1943199832820484
1.0	23.0	-0.20824234234234237	0.1882240843199932
1.0	24.0	-0.20833684210526318	0.20161121982145425
1.0	25.0	-0.24660967741935488	0.1780810763132283
1.0	26.0	-0.29348372093023256	0.15818515963478424
1.0	27.0	-0.29326129032258064	0.18892338249039717
1.0	28.0	-0.4274363636363635	0.2050964919145888
1.0	29.0	-0.3946181818181818	0.3624911662873506
1.0	30.0	-0.5553	0.26808331416433456
1.0	31.0	-0.6145	0.290107643815188
1.0	32.0	-0.9268000000000001	0.41394030970660495
1.0	33.0	NaN	NaN
1.0	34.0	NaN	NaN
1.0	35.0	NaN	NaN
1.0	36.0	NaN	NaN
1.0	37.0	NaN	NaN
1.0	38.0	NaN	NaN
1.0	39.0	NaN	NaN
1.0	40.0	NaN	NaN
1.0	41.0	NaN	NaN
1.0	42.0	NaN	NaN
1.0	43.0	NaN	NaN
1.0	44.0	NaN	NaN
1.0	45.0	NaN	NaN
1.0	46.0	NaN	NaN
2.0	1.0	0.011525108225108221	0.18574334530033046
2.0	2.0	0.02132640692640693	0.18024462494449459
2.0	3.0	0.00039437229437229286	0.19483341181505695
2.0	4.0	0.011145021645021643	0.19282090171491187
2.0	5.0	-0.010177922077922081	0.18554975211636926
2.0	6.0	-0.016233333333333332	0.17724081055878815
2.0	7.0	-0.0143030303030303	0.18384137216962923
2.0	8.0	-0.018618614718614715	0.1824442093395976
2.0	9.0	-0.0029277056277056284	0.18910542450412912
2.0	10.0	-0.015292640692640691	0.1911840003480505
2.0	11.0	-0.026432034632034633	0.18095535244367927
2.0	12.0	-0.026847186147186144	0.18629498739634495
2.0	13.0	-0.016240692640692642	0.19196670790948397
2.0	14.0	-0.03566060606060606	0.161630857357331
2.0	15.0	-0.030391774891774893	0.18226585854987495
2.0	16.0	-0.019389610389610387	0.19708508684526096
2.0	17.0	-0.02546320346320347	0.16984370228343876
2.0	18.0	-0.04759004329004329	0.17771194189400227
2.0	19.0	-0.05200352422907489	0.17689233310024702
2.0	20.0	-0.06464905660377358	0.1657849879409892
2.0	21.0	-0.08726666666666669	0.17621167226725773
2.0	22.0	-0.11869398496240603	0.17286629171712475
2.0	23.0	-0.1486910891089109	0.16415203142149043
2.0	24.0	-0.2023794871794872	0.17741105644909214
2.0	25.0	-0.23558541666666663	0.15192993344439548
2.0	26.0	-0.27527352941176475	0.13777624439829644
2.0	27.0	-0.30069500000000005	0.1706438842644005
2.0	28.0	-0.44469999999999993	0.14690255892319173
2.0	29.0	-0.37521000000000004	0.20134596235225466
2.0	30.0	-0.4897666666666667	0.2026486877990249
2.0	31.0	-0.5428200000000001	0.08389840284534622
2.0	32.0	-0.474825	0.058529615010978274
3.0	1.0	0.015879220779220778	0.19587660956592634
3.0	2.0	-0.0011575757575757566	0.19970785232262372
3.0	3.0	1.1688311688314697e-5	0.19790487744106586
3.0	4.0	0.007073160173160172	0.20652057265237653
3.0	5.0	-0.017010822510822508	0.20394693601143157
3.0	6.0	-0.019749350649350645	0.18382860255994365
3.0	7.0	-0.022491341991341993	0.18031424866753892
3.0	8.0	-0.02366883116883117	0.19990558788527732
3.0	9.0	-0.03071601731601732	0.19786408588084034
3.0	10.0	-0.028381385281385278	0.19518997847088349
3.0	11.0	-0.015060173160173159	0.2035434590235565
3.0	12.0	-0.04774848484848485	0.18985807785278772
3.0	13.0	-0.04914545454545454	0.17995491938776698
3.0	14.0	-0.053425541125541126	0.19845350456781904
3.0	15.0	-0.04616926406926406	0.2030281832200396
3.0	16.0	-0.044029870129870134	0.19875040851908907
3.0	17.0	-0.05033782608695652	0.18413842928448768
3.0	18.0	-0.05179339207048458	0.19318364411712532
3.0	19.0	-0.07202081447963801	0.18859756318021564
3.0	20.0	-0.07917951219512195	0.18764156373505675
3.0	21.0	-0.11315027322404367	0.18342708132119653
3.0	22.0	-0.1406	0.1728066397555075
3.0	23.0	-0.17536355140186916	0.17417531256760607
3.0	24.0	-0.2423615384615384	0.19442087378631998
3.0	25.0	-0.2553740740740741	0.21549998221353092
3.0	26.0	-0.31277027027027027	0.16316498784438485
3.0	27.0	-0.33631200000000006	0.1890515412967233
3.0	28.0	-0.3666055555555556	0.2615801676063522
3.0	29.0	-0.3881333333333333	0.223565525612569
3.0	30.0	-0.48590000000000005	0.18530648743558406
3.0	31.0	-0.58765	0.17178907706836308
3.0	32.0	-0.59935	0.27921682733436154
3.0	33.0	-0.542	0.1917673590577917
3.0	34.0	NaN	NaN
3.0	35.0	NaN	NaN
3.0	36.0	NaN	NaN
3.0	37.0	NaN	NaN
3.0	38.0	NaN	NaN
3.0	39.0	NaN	NaN
3.0	40.0	NaN	NaN
3.0	41.0	NaN	NaN
4.0	1.0	0.007850649350649355	0.206889760578394
4.0	2.0	0.0031398268398268405	0.2157886233612509
4.0	3.0	0.004899567099567101	0.21054559487567276
4.0	4.0	0.004490909090909091	0.2009787028616529
4.0	5.0	-0.012732034632034633	0.19949938784850751
4.0	6.0	-0.023690476190476182	0.20412020264122313
4.0	7.0	-0.017425541125541122	0.20415709295952508
4.0	8.0	-0.022537229437229436	0.20287198597859513
4.0	9.0	-0.033096969696969694	0.19273327309002652
4.0	10.0	-0.025254978354978357	0.2001418745895987
4.0	11.0	-0.014887878787878788	0.2133481613218027
4.0	12.0	-0.03307402597402598	0.19362450083193683
4.0	13.0	-0.05364069264069264	0.1921840711569892
4.0	14.0	-0.04893333333333332	0.1996125106444912
4.0	15.0	-0.032299999999999995	0.19520824866748354
4.0	16.0	-0.04014329004329004	0.21321274869195964
4.0	17.0	-0.05267662337662338	0.1993911130740201
4.0	18.0	-0.06786096491228069	0.18031019457287006
4.0	19.0	-0.05941658986175114	0.18862569466131932
4.0	20.0	-0.10090307692307691	0.17883028004968482
4.0	21.0	-0.12153017751479292	0.15754055101734682
4.0	22.0	-0.13249503546099292	0.1958209150241403
4.0	23.0	-0.18175648148148144	0.16281590961846296
4.0	24.0	-0.2110632183908046	0.18246763339297503
4.0	25.0	-0.25518059701492535	0.17781380049963227
4.0	26.0	-0.3261093023255814	0.19718169746750921
