# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_unlimCap_highRe_3gen.txt" 
# daughter	rls	rejuvenation
10.0	72.0	2.408
4.0	68.0	2.2271
4.0	67.0	2.1782
11.0	63.0	1.9965
10.0	65.0	1.9958
29.0	71.0	1.9057
7.0	62.0	1.9051
11.0	62.0	1.8635
6.0	60.0	1.861
6.0	63.0	1.8603
12.0	60.0	1.86
19.0	66.0	1.8597
19.0	62.0	1.818
18.0	58.0	1.818
6.0	55.0	1.8174
9.0	60.0	1.8174
17.0	67.0	1.8156
13.0	61.0	1.8146
17.0	59.0	1.7692
5.0	58.0	1.769
22.0	64.0	1.7271
10.0	56.0	1.7271
16.0	61.0	1.7244
11.0	61.0	1.7237
9.0	56.0	1.7227
18.0	57.0	1.6817
12.0	55.0	1.6817
1.0	57.0	1.6789
22.0	63.0	1.6783
14.0	57.0	1.6783
14.0	54.0	1.6774
16.0	58.0	1.634
16.0	54.0	1.6335
8.0	61.0	1.5887
7.0	59.0	1.5878
7.0	56.0	1.5867
8.0	57.0	1.5453
7.0	61.0	1.5438
1.0	60.0	1.5373
5.0	51.0	1.4993
7.0	53.0	1.4975
6.0	51.0	1.4974
18.0	57.0	1.4961
5.0	54.0	1.4961
1.0	49.0	1.4521
1.0	51.0	1.4517
15.0	64.0	1.4507
10.0	46.0	1.409
6.0	51.0	1.409
3.0	52.0	1.409
19.0	54.0	1.4067
19.0	56.0	1.4067
14.0	52.0	1.4067
7.0	53.0	1.4066
13.0	55.0	1.4066
4.0	50.0	1.4063
5.0	51.0	1.4054
25.0	59.0	1.3635
6.0	50.0	1.363
7.0	49.0	1.3622
1.0	51.0	1.3617
9.0	51.0	1.3614
17.0	53.0	1.3614
11.0	48.0	1.3608
1.0	47.0	1.3601
10.0	48.0	1.3565
7.0	50.0	1.3565
17.0	52.0	1.3176
6.0	52.0	1.3163
4.0	47.0	1.3163
5.0	47.0	1.316
6.0	52.0	1.316
3.0	50.0	1.3159
23.0	55.0	1.3156
2.0	49.0	1.3156
16.0	48.0	1.3154
3.0	54.0	1.3154
9.0	50.0	1.3154
19.0	50.0	1.3147
10.0	47.0	1.3147
15.0	46.0	1.2726
4.0	46.0	1.2726
6.0	51.0	1.2722
18.0	47.0	1.2722
16.0	48.0	1.2722
6.0	54.0	1.2714
17.0	52.0	1.2714
16.0	48.0	1.2714
18.0	48.0	1.2709
14.0	47.0	1.2709
4.0	46.0	1.2709
5.0	51.0	1.2706
9.0	46.0	1.2705
18.0	47.0	1.2705
9.0	49.0	1.2705
18.0	51.0	1.2701
9.0	46.0	1.2694
13.0	50.0	1.2694
25.0	54.0	1.266
8.0	50.0	1.266
22.0	54.0	1.2272
5.0	45.0	1.2272
6.0	49.0	1.2272
21.0	51.0	1.2272
4.0	43.0	1.2272
16.0	43.0	1.226
16.0	47.0	1.226
4.0	49.0	1.226
23.0	53.0	1.226
8.0	44.0	1.2255
17.0	45.0	1.2252
15.0	43.0	1.2252
5.0	44.0	1.2251
15.0	47.0	1.2248
20.0	52.0	1.2248
4.0	48.0	1.2248
13.0	56.0	1.2248
14.0	50.0	1.2208
8.0	47.0	1.2208
17.0	48.0	1.1817
12.0	48.0	1.1813
18.0	46.0	1.1813
6.0	45.0	1.1801
4.0	44.0	1.1801
7.0	44.0	1.1801
3.0	43.0	1.1799
8.0	42.0	1.1799
3.0	45.0	1.1799
10.0	49.0	1.1797
1.0	48.0	1.1795
2.0	52.0	1.1795
11.0	44.0	1.1795
19.0	51.0	1.1795
21.0	47.0	1.1793
3.0	52.0	1.1793
4.0	44.0	1.1756
9.0	44.0	1.1756
13.0	44.0	1.1363
3.0	45.0	1.1363
6.0	46.0	1.1363
10.0	50.0	1.1359
12.0	42.0	1.1352
7.0	42.0	1.1348
20.0	48.0	1.1348
5.0	47.0	1.1348
12.0	45.0	1.1345
10.0	42.0	1.1345
9.0	48.0	1.1341
17.0	46.0	1.1341
12.0	43.0	1.1341
12.0	47.0	1.1341
10.0	58.0	1.134
5.0	53.0	1.134
16.0	42.0	1.134
2.0	43.0	1.134
3.0	43.0	1.134
12.0	45.0	1.134
22.0	48.0	1.1334
15.0	44.0	1.1334
10.0	47.0	1.1334
10.0	45.0	1.1304
3.0	53.0	1.1304
16.0	40.0	1.0908
16.0	41.0	1.0908
1.0	48.0	1.0908
14.0	42.0	1.0904
9.0	40.0	1.0904
15.0	41.0	1.0898
17.0	61.0	1.0898
23.0	49.0	1.0894
17.0	43.0	1.0894
2.0	42.0	1.0891
