# REJUVENATION INDEX IN LINEAGE
# original file "wt_unlimCap_highRe_3gen.txt" 
# mother	daughter	rejMean	rejStd
0.0	0.0	0.0	0.0
0.0	1.0	0.09065	0.15420621294588333
0.0	2.0	-0.013859999999999994	0.34477856404107
0.0	3.0	-0.0365	0.258190468022694
0.0	4.0	0.03168	0.2863656435010628
0.0	5.0	-0.11359999999999996	0.30064591946156344
0.0	6.0	-0.06349	0.2345751405318892
0.0	7.0	-0.059179999999999996	0.3272022167814067
0.0	8.0	-0.09979	0.19234361295464023
0.0	9.0	-0.14079	0.28589874839413576
0.0	10.0	-0.009189999999999999	0.23894578394829794
0.0	11.0	-0.14531999999999998	0.20500921280111617
0.0	12.0	-0.06359	0.21740762252812876
0.0	13.0	-0.17717999999999995	0.2500570059450889
0.0	14.0	-0.04106	0.2937579245266793
0.0	15.0	0.07720999999999999	0.25511392858006704
0.0	16.0	-0.05452	0.21699146322173857
0.0	17.0	-0.12252999999999999	0.21403242770924014
0.0	18.0	-0.07268	0.2173700214432115
0.0	19.0	-0.17705	0.21559873865844187
0.0	20.0	-0.23197777777777778	0.14259770139958233
0.0	21.0	-0.19674444444444444	0.21065597612642697
0.0	22.0	-0.2917714285714285	0.2160981467935786
0.0	23.0	-0.351875	0.1591503979469315
0.0	24.0	-0.215575	0.23846097339676642
0.0	25.0	-0.4996	0.06477098115668777
0.0	26.0	-0.54495	0.06356889962867061
0.0	27.0	-0.4768	0.09574225817265851
0.0	28.0	-0.36315	0.25646762953636076
0.0	29.0	-0.5904	0.06491240251292506
0.0	30.0	NaN	NaN
0.0	31.0	NaN	NaN
0.0	32.0	NaN	NaN
1.0	1.0	0.02101341463414634	0.26631871335792234
1.0	2.0	-0.0014845528455284572	0.23180195330568262
1.0	3.0	-0.009219918699186994	0.2456874240499906
1.0	4.0	-0.002735365853658535	0.25912111424234063
1.0	5.0	-0.03911138211382113	0.23645300217435522
1.0	6.0	-0.018644715447154465	0.26096253455495727
1.0	7.0	-0.03453008130081301	0.26625341433011207
1.0	8.0	-0.030446341463414635	0.21854012447824914
1.0	9.0	-0.03559634146341463	0.2728767722685523
1.0	10.0	-0.042790650406504066	0.3007024904948067
1.0	11.0	-0.04959918699186992	0.2476325371770117
1.0	12.0	-0.057188617886178864	0.23778859988919912
1.0	13.0	-0.04852723577235772	0.2366150553934776
1.0	14.0	-0.05959634146341464	0.25604201462234005
1.0	15.0	-0.06048455284552845	0.2363856144082947
1.0	16.0	-0.07076693877551021	0.2715762974504623
1.0	17.0	-0.07700860655737704	0.22517065473276673
1.0	18.0	-0.07138117154811714	0.2516004138658068
1.0	19.0	-0.10361216216216218	0.24103416532918603
1.0	20.0	-0.12740591133004928	0.24850443142956366
1.0	21.0	-0.13468494623655913	0.24942287285228873
1.0	22.0	-0.14694172185430462	0.30121476332955877
1.0	23.0	-0.19855439999999996	0.19999387954505976
1.0	24.0	-0.2412438775510204	0.2371825483689493
1.0	25.0	-0.31530259740259736	0.24894661759947126
1.0	26.0	-0.332168	0.2433785037713051
1.0	27.0	-0.41073421052631576	0.1935601076784548
1.0	28.0	-0.4456714285714285	0.15533955127550803
1.0	29.0	-0.537625	0.1970492988675944
1.0	30.0	-0.4264	0.22132346891989754
1.0	31.0	-0.5410692307692309	0.17813272385413162
1.0	32.0	-0.49021	0.27888432269391633
1.0	33.0	-0.67172	0.2594843868135422
1.0	34.0	-0.7561666666666667	0.06951361976859881
1.0	35.0	-0.6653333333333333	0.4404789022567747
1.0	36.0	-0.8317666666666668	0.15926425629542032
1.0	37.0	-0.81675	0.00035355339059323483
1.0	38.0	NaN	NaN
1.0	39.0	NaN	NaN
1.0	40.0	NaN	NaN
2.0	1.0	0.020643495934959358	0.2416804576513908
2.0	2.0	0.028234552845528452	0.2663571208389893
2.0	3.0	0.03838170731707317	0.2620815995976929
2.0	4.0	-0.0005556910569105702	0.2415643155752033
2.0	5.0	-0.004227642276422761	0.2320352720550989
2.0	6.0	-0.00462682926829268	0.22712918955220204
2.0	7.0	-0.022833333333333334	0.25507266212980645
2.0	8.0	-0.013246341463414631	0.2682015952996073
2.0	9.0	-0.032630487804878046	0.22060007716746538
2.0	10.0	-0.03036544715447154	0.24536962868044374
2.0	11.0	-0.03536829268292682	0.25028397009081527
2.0	12.0	-0.026180487804878052	0.23399144015689943
2.0	13.0	-0.03945731707317074	0.251964719119435
2.0	14.0	-0.04259512195121949	0.22290871357655
2.0	15.0	-0.043509756097560984	0.2543003125551649
2.0	16.0	-0.031685772357723574	0.23182086610142166
2.0	17.0	-0.04983360655737705	0.23213109592906178
2.0	18.0	-0.07243278008298756	0.23832014629343082
2.0	19.0	-0.06934222222222222	0.23854601073191542
2.0	20.0	-0.1351848484848485	0.2254413743566259
2.0	21.0	-0.1497229411764706	0.19122668045213273
2.0	22.0	-0.17224492753623188	0.19801714777639423
2.0	23.0	-0.18877321428571434	0.2716967267895104
2.0	24.0	-0.24599444444444438	0.19164840136059028
2.0	25.0	-0.2886434782608696	0.1875120094022693
2.0	26.0	-0.32251090909090907	0.2208942730782939
2.0	27.0	-0.34075853658536587	0.20134803075223973
2.0	28.0	-0.3409379310344828	0.16820293316151755
2.0	29.0	-0.44761875000000007	0.17343217009828366
2.0	30.0	-0.5069454545454546	0.19115493382927035
2.0	31.0	-0.46449999999999997	0.2985044436137306
2.0	32.0	-0.5361666666666666	0.11954899692873491
2.0	33.0	-0.6118	0.353694811949511
2.0	34.0	NaN	NaN
2.0	35.0	NaN	NaN
2.0	36.0	NaN	NaN
2.0	37.0	NaN	NaN
2.0	38.0	NaN	NaN
3.0	1.0	0.027493902439024394	0.24388207706530712
3.0	2.0	0.031921138211382115	0.25139857296756435
3.0	3.0	0.014384146341463414	0.2585397872366463
3.0	4.0	0.0077382113821138215	0.2442420061216719
3.0	5.0	0.014752439024390244	0.26693836339344285
