# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_unlimCap_noRe_3gen.txt" 
# genT	cycleGrowth	rejuvenation
1.4573	1.576	2.9822
1.4534	1.5823	2.6554
1.445	1.5795	2.6376
1.4565	1.5818	2.6313
1.4478	1.5772	2.61
1.4278	1.5797	2.523
1.4666	1.5789	2.5229
1.4567	1.5797	2.4415
1.4727	1.5825	2.2814
1.4468	1.5798	2.262
1.495	1.5785	2.1799
1.4788	1.5779	2.1799
1.4995	1.5841	2.1101
1.4604	1.5845	2.1051
1.4666	1.5814	2.0927
1.4315	1.5811	2.0879
1.4608	1.5814	2.0308
1.5025	1.5804	2.0308
1.4663	1.583	2.0009
1.466	1.5802	2.0009
1.4762	1.5834	1.9473
1.4627	1.5851	1.9304
1.4284	1.5822	1.9183
1.4617	1.5833	1.9139
1.4993	1.5826	1.9139
1.4686	1.5856	1.8588
1.4567	1.5831	1.8483
1.5029	1.5836	1.8463
1.4977	1.5826	1.8427
1.4441	1.5824	1.7603
1.4753	1.5852	1.7584
1.4287	1.5811	1.7584
1.4419	1.5836	1.7439
1.4775	1.5874	1.6914
1.4771	1.584	1.6776
1.4824	1.5834	1.6776
1.4478	1.5829	1.6776
1.4406	1.5823	1.6567
1.5476	1.582	1.653
1.4321	1.5838	1.653
1.4549	1.5819	1.6529
1.4732	1.5864	1.5933
1.4724	1.5851	1.5933
1.4639	1.5874	1.5842
1.4677	1.5873	1.5842
1.4847	1.5812	1.5826
1.5204	1.5849	1.5794
1.4702	1.586	1.5788
1.5438	1.5898	1.5696
1.4906	1.5835	1.566
1.5069	1.5896	1.566
1.4688	1.587	1.5659
1.4954	1.5838	1.5047
1.4758	1.5851	1.4962
1.544	1.5844	1.4962
1.447	1.5843	1.4947
1.4591	1.5859	1.4917
1.5222	1.5888	1.4917
1.4893	1.586	1.4911
1.4521	1.5837	1.4911
1.4818	1.5838	1.4911
1.4485	1.5829	1.479
1.4653	1.5823	1.479
1.4666	1.585	1.4789
1.4963	1.5867	1.4162
1.5184	1.5872	1.4127
1.524	1.5891	1.4127
1.5879	1.586	1.4127
1.4452	1.5837	1.4082
1.4404	1.5841	1.4067
1.4532	1.5858	1.4039
1.4705	1.5869	1.4039
1.4593	1.5844	1.4034
1.4606	1.5862	1.3952
1.4765	1.5832	1.3952
1.5143	1.5858	1.3952
1.452	1.5869	1.392
1.4778	1.583	1.392
1.4651	1.5841	1.3919
1.491	1.5806	1.3353
1.4389	1.5832	1.3277
1.4931	1.5882	1.3244
1.4744	1.5843	1.3244
1.5031	1.5844	1.3244
1.4507	1.5854	1.3202
1.4764	1.5826	1.3188
1.5314	1.5808	1.3162
1.5008	1.5878	1.3157
