# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_unlimCap_highRe_3gen_perturbed.txt" 
# genT	cycleGrowth	rejuvenation
2.4721	1.5969	1.413
2.3943	1.6033	0.9407
2.4589	1.5997	0.9404
2.5066	1.6021	0.8839
2.3571	1.6095	0.825
2.3898	1.6071	0.825
2.3396	1.6136	0.8233
2.4249	1.6045	0.8225
2.4695	1.603	0.8225
2.3482	1.6062	0.7661
2.4191	1.604	0.7654
2.3881	1.6109	0.7654
2.3413	1.6107	0.7645
2.3959	1.6022	0.7645
2.3747	1.6095	0.7643
2.3926	1.6108	0.7641
2.3921	1.6034	0.7638
2.4139	1.6033	0.7637
2.4237	1.6068	0.7637
2.3715	1.6037	0.7637
2.4114	1.6099	0.7071
2.4238	1.6051	0.7071
2.3289	1.6125	0.7065
2.4314	1.6056	0.7057
2.3494	1.6061	0.7057
2.5182	1.5992	0.7057
2.3861	1.6049	0.7053
2.3837	1.6073	0.7053
2.4551	1.6015	0.7053
2.2997	1.6119	0.705
2.3231	1.6101	0.705
2.3709	1.6047	0.6482
2.3738	1.6075	0.6482
2.3956	1.6116	0.6482
2.3798	1.6057	0.6482
2.4092	1.6056	0.6482
2.3468	1.6064	0.6482
2.4173	1.6095	0.6477
2.3238	1.6124	0.6477
2.4471	1.6065	0.6476
2.4194	1.6026	0.6476
2.4247	1.6023	0.6469
2.4013	1.605	0.6467
2.3602	1.6054	0.6467
2.3736	1.6162	0.6467
2.2854	1.615	0.6467
2.4333	1.6051	0.6467
2.3994	1.6042	0.6466
2.3463	1.6054	0.6466
2.3317	1.6103	0.6466
2.3947	1.6072	0.6463
2.3694	1.6097	0.6463
2.3469	1.6079	0.6463
2.3896	1.6061	0.6463
2.419	1.6064	0.6462
2.3601	1.6047	0.6462
2.3362	1.6105	0.6462
2.4175	1.6059	0.6462
2.3147	1.6101	0.6458
2.4181	1.6036	0.6458
2.3511	1.6128	0.6458
2.3254	1.6085	0.5893
2.4482	1.6061	0.5893
2.283	1.6135	0.5893
2.3011	1.6154	0.5893
2.2991	1.6116	0.5893
2.4069	1.6102	0.5893
2.3677	1.6089	0.5888
2.3377	1.6138	0.5888
2.3509	1.6091	0.5888
2.3343	1.6195	0.5888
2.2973	1.6136	0.5888
2.4052	1.6042	0.5888
2.3965	1.6099	0.5888
2.3631	1.6098	0.5888
2.3968	1.6117	0.5888
2.3501	1.6153	0.5888
2.3397	1.6053	0.5888
2.3459	1.6145	0.5888
2.3958	1.6122	0.5888
2.3667	1.6066	0.5881
2.3045	1.6147	0.5881
2.3459	1.6098	0.5881
2.3004	1.6169	0.5881
2.4305	1.6095	0.5881
2.3902	1.6048	0.5881
2.3672	1.6146	0.5881
2.3756	1.6095	0.5879
2.2868	1.6126	0.5879
2.3202	1.611	0.5879
2.3559	1.6114	0.5879
2.3087	1.6158	0.5879
2.3513	1.6064	0.5879
2.391	1.6066	0.5879
2.3996	1.6119	0.5878
2.2679	1.6151	0.5878
2.3396	1.6165	0.5878
2.4255	1.6092	0.5878
2.3894	1.6115	0.5878
2.3374	1.6091	0.5875
2.3688	1.6068	0.5875
2.297	1.6183	0.5875
2.2993	1.612	0.5875
2.3711	1.6055	0.5875
2.2709	1.6139	0.5875
2.3865	1.6073	0.5875
2.4599	1.6068	0.5875
2.3287	1.611	0.5875
2.3017	1.6151	0.5875
2.3914	1.6116	0.5875
2.4115	1.6136	0.5875
2.3693	1.6081	0.5875
2.3906	1.6071	0.5875
2.2882	1.6141	0.5875
2.4332	1.608	0.5871
2.4156	1.603	0.5871
2.4145	1.609	0.5871
2.3473	1.6121	0.5303
2.3836	1.6093	0.5303
2.3939	1.6149	0.5303
2.356	1.6095	0.5303
2.3563	1.616	0.5303
2.3734	1.613	0.5303
2.3455	1.616	0.5303
2.2922	1.6123	0.5303
2.3524	1.618	0.5303
2.369	1.6125	0.5303
2.3858	1.6087	0.5303
2.3966	1.6059	0.5303
2.2755	1.617	0.5303
2.3124	1.6132	0.5303
2.3289	1.6142	0.5303
2.4148	1.6145	0.5303
2.2422	1.6195	0.5303
2.3687	1.6183	0.5303
2.3375	1.6124	0.5303
2.3934	1.6159	0.5303
2.3072	1.6164	0.5303
2.358	1.6099	0.5303
2.2889	1.6128	0.5303
2.3253	1.6087	0.5303
2.4735	1.6068	0.5299
2.3134	1.6116	0.5299
2.3416	1.612	0.5299
2.3078	1.6132	0.5299
2.291	1.6155	0.5299
2.467	1.6041	0.5299
2.2825	1.6152	0.5299
2.3522	1.6094	0.5299
2.4488	1.6055	0.5299
2.4025	1.6049	0.5299
2.3567	1.6153	0.5299
2.3215	1.6193	0.5299
2.4145	1.6125	0.5299
2.4689	1.6053	0.5299
2.3817	1.6109	0.5299
2.3522	1.6064	0.5299
2.3505	1.6155	0.5299
2.3489	1.6081	0.5299
2.3483	1.6166	0.5299
2.3596	1.6162	0.5299
2.3314	1.6157	0.5299
2.3876	1.6106	0.5299
2.3774	1.6161	0.5299
2.3756	1.6052	0.5299
2.2378	1.6199	0.5299
2.3312	1.6086	0.5299
2.2914	1.6144	0.5299
2.425	1.6071	0.5293
2.398	1.6125	0.5293
2.2973	1.6125	0.5293
2.2588	1.6163	0.5293
2.3789	1.6106	0.5293
2.414	1.6109	0.5293
2.2775	1.6127	0.5293
2.3364	1.6109	0.5293
2.3899	1.6089	0.5293
2.3029	1.6173	0.5293
2.3846	1.6166	0.5293
2.4161	1.6093	0.5293
2.2862	1.6165	0.5293
2.364	1.6152	0.5293
2.4325	1.609	0.5291
2.39	1.6085	0.5291
2.4256	1.6104	0.5291
2.2683	1.6172	0.5291
2.2968	1.6185	0.5291
2.3685	1.6136	0.5291
2.3508	1.6065	0.5291
2.3292	1.6212	0.5291
2.3794	1.6155	0.5291
2.4574	1.6028	0.5291
2.3948	1.6131	0.5291
2.344	1.6123	0.5291
2.3318	1.6149	0.529
2.2649	1.6137	0.529
2.2909	1.614	0.529
2.308	1.6156	0.529
2.4249	1.6102	0.529
2.3553	1.6061	0.529
2.3941	1.608	0.529
2.274	1.6149	0.529
2.377	1.605	0.529
2.34	1.6099	0.529
2.2853	1.6121	0.529
2.349	1.6093	0.529
2.4028	1.6074	0.5288
2.431	1.6062	0.5288
2.3685	1.6129	0.5288
2.3438	1.6133	0.5288
2.3595	1.6096	0.5288
2.3588	1.6116	0.5288
2.3411	1.6204	0.5288
2.2807	1.614	0.5288
2.3603	1.608	0.5288
2.3021	1.6198	0.5288
2.3276	1.6076	0.5288
2.4013	1.6059	0.5288
2.2943	1.6136	0.5288
2.3709	1.6061	0.5288
2.3676	1.6116	0.5288
2.4466	1.6099	0.5287
2.2752	1.6181	0.5287
2.4242	1.607	0.5287
2.3385	1.6141	0.5287
2.3106	1.6106	0.5287
2.3845	1.6127	0.5287
2.3545	1.6168	0.5287
2.3067	1.6112	0.5287
2.3515	1.6105	0.5287
2.3054	1.61	0.5287
2.3881	1.6131	0.5287
2.3319	1.6153	0.5287
2.2919	1.6119	0.5287
2.3964	1.6132	0.5287
2.3342	1.6138	0.5287
2.3133	1.6125	0.5287
2.3288	1.619	0.5284
2.3232	1.614	0.5284
2.3832	1.6109	0.5284
2.4333	1.6099	0.5284
2.2573	1.6166	0.5284
2.2963	1.6142	0.4714
2.3888	1.6152	0.4714
2.2622	1.6212	0.4714
2.2665	1.6242	0.4714
2.3133	1.6144	0.4714
2.2683	1.621	0.4714
2.3317	1.6092	0.4714
2.323	1.6143	0.4714
2.3745	1.6079	0.4714
2.2973	1.6225	0.4714
2.3334	1.6185	0.4714
2.4075	1.6071	0.4714
2.2861	1.6164	0.4714
2.3558	1.6148	0.4714
