# DAUGHTER VS D BY REJUVENATION
# original file "wt_unlimCap_highRe_3gen_perturbed.txt" 
# daughter	initD	rejuvenation
3.0	0.0961	1.413
1.0	0.0808	0.9407
10.0	0.1461	0.9404
14.0	0.1836	0.8839
2.0	0.0836	0.825
3.0	0.088	0.825
2.0	0.0797	0.8233
8.0	0.1385	0.8225
13.0	0.1679	0.8225
3.0	0.092	0.7661
12.0	0.163	0.7654
5.0	0.1203	0.7654
1.0	0.0662	0.7645
13.0	0.1787	0.7645
4.0	0.1046	0.7643
1.0	0.0689	0.7641
12.0	0.1795	0.7638
10.0	0.1492	0.7637
8.0	0.1389	0.7637
7.0	0.128	0.7637
7.0	0.1362	0.7071
13.0	0.179	0.7071
3.0	0.0967	0.7065
10.0	0.1495	0.7057
9.0	0.1466	0.7057
19.0	0.2103	0.7057
8.0	0.1371	0.7053
7.0	0.1311	0.7053
16.0	0.1958	0.7053
1.0	0.0758	0.705
2.0	0.0722	0.705
6.0	0.1169	0.6482
6.0	0.1254	0.6482
8.0	0.1464	0.6482
7.0	0.1223	0.6482
7.0	0.1267	0.6482
6.0	0.1266	0.6482
6.0	0.125	0.6477
2.0	0.0815	0.6477
13.0	0.2048	0.6476
14.0	0.1685	0.6476
15.0	0.1805	0.6469
9.0	0.1427	0.6467
8.0	0.1412	0.6467
1.0	0.0677	0.6467
2.0	0.0836	0.6467
7.0	0.1199	0.6467
10.0	0.1478	0.6466
4.0	0.1017	0.6466
3.0	0.087	0.6466
10.0	0.1507	0.6463
2.0	0.0732	0.6463
6.0	0.121	0.6463
11.0	0.1605	0.6463
13.0	0.1807	0.6462
6.0	0.1173	0.6462
7.0	0.1389	0.6462
12.0	0.1606	0.6462
6.0	0.1308	0.6458
10.0	0.1444	0.6458
2.0	0.0883	0.6458
9.0	0.149	0.5893
15.0	0.1816	0.5893
3.0	0.0948	0.5893
3.0	0.1035	0.5893
4.0	0.1019	0.5893
4.0	0.1008	0.5893
9.0	0.1446	0.5888
4.0	0.108	0.5888
6.0	0.1188	0.5888
1.0	0.067	0.5888
1.0	0.0787	0.5888
14.0	0.1775	0.5888
11.0	0.1632	0.5888
7.0	0.1319	0.5888
9.0	0.1484	0.5888
7.0	0.1393	0.5888
13.0	0.1699	0.5888
2.0	0.0736	0.5888
10.0	0.1592	0.5888
9.0	0.1436	0.5881
1.0	0.0746	0.5881
7.0	0.1305	0.5881
1.0	0.0722	0.5881
7.0	0.1292	0.5881
9.0	0.1383	0.5881
5.0	0.115	0.5881
8.0	0.1375	0.5879
1.0	0.0647	0.5879
8.0	0.144	0.5879
7.0	0.1364	0.5879
2.0	0.0872	0.5879
6.0	0.1248	0.5879
9.0	0.1382	0.5879
7.0	0.1332	0.5878
1.0	0.0761	0.5878
2.0	0.0888	0.5878
12.0	0.1632	0.5878
7.0	0.1343	0.5878
2.0	0.0796	0.5875
13.0	0.1945	0.5875
2.0	0.0787	0.5875
2.0	0.093	0.5875
13.0	0.1758	0.5875
2.0	0.0901	0.5875
10.0	0.1448	0.5875
15.0	0.18	0.5875
6.0	0.1295	0.5875
3.0	0.105	0.5875
9.0	0.1438	0.5875
10.0	0.1619	0.5875
12.0	0.1667	0.5875
13.0	0.1785	0.5875
3.0	0.0906	0.5875
9.0	0.1411	0.5871
5.0	0.1101	0.5871
12.0	0.1723	0.5871
4.0	0.1048	0.5303
13.0	0.1784	0.5303
11.0	0.1787	0.5303
7.0	0.1326	0.5303
7.0	0.1341	0.5303
4.0	0.095	0.5303
4.0	0.1138	0.5303
4.0	0.1069	0.5303
3.0	0.0908	0.5303
4.0	0.0986	0.5303
12.0	0.1666	0.5303
14.0	0.2107	0.5303
2.0	0.0817	0.5303
6.0	0.1241	0.5303
1.0	0.0644	0.5303
11.0	0.1683	0.5303
1.0	0.0761	0.5303
4.0	0.1057	0.5303
7.0	0.1374	0.5303
5.0	0.1116	0.5303
1.0	0.0624	0.5303
9.0	0.1443	0.5303
3.0	0.1005	0.5303
9.0	0.1481	0.5303
16.0	0.1881	0.5299
7.0	0.1345	0.5299
8.0	0.1429	0.5299
3.0	0.1032	0.5299
1.0	0.0782	0.5299
13.0	0.1526	0.5299
2.0	0.0788	0.5299
8.0	0.1306	0.5299
15.0	0.1724	0.5299
15.0	0.1742	0.5299
3.0	0.0891	0.5299
2.0	0.0851	0.5299
12.0	0.1805	0.5299
17.0	0.1946	0.5299
11.0	0.1648	0.5299
9.0	0.1424	0.5299
6.0	0.1199	0.5299
13.0	0.1763	0.5299
3.0	0.0946	0.5299
4.0	0.1052	0.5299
5.0	0.1128	0.5299
12.0	0.1712	0.5299
6.0	0.1265	0.5299
15.0	0.1915	0.5299
1.0	0.0707	0.5299
6.0	0.1151	0.5299
4.0	0.1073	0.5299
13.0	0.1638	0.5293
12.0	0.1769	0.5293
6.0	0.1223	0.5293
3.0	0.1015	0.5293
11.0	0.164	0.5293
12.0	0.1632	0.5293
1.0	0.0816	0.5293
12.0	0.1834	0.5293
6.0	0.1199	0.5293
4.0	0.1097	0.5293
7.0	0.1317	0.5293
10.0	0.1478	0.5293
2.0	0.084	0.5293
2.0	0.0906	0.5293
14.0	0.1809	0.5291
11.0	0.1535	0.5291
13.0	0.1709	0.5291
3.0	0.101	0.5291
4.0	0.1007	0.5291
6.0	0.1245	0.5291
5.0	0.1062	0.5291
1.0	0.0745	0.5291
9.0	0.1538	0.5291
12.0	0.1525	0.5291
8.0	0.1375	0.5291
3.0	0.1029	0.5291
3.0	0.0814	0.529
3.0	0.0917	0.529
6.0	0.1307	0.529
4.0	0.1076	0.529
11.0	0.1522	0.529
5.0	0.1159	0.529
7.0	0.1262	0.529
5.0	0.1178	0.529
12.0	0.1592	0.529
5.0	0.106	0.529
4.0	0.1084	0.529
10.0	0.1488	0.529
11.0	0.1496	0.5288
14.0	0.172	0.5288
10.0	0.1588	0.5288
9.0	0.1536	0.5288
8.0	0.1337	0.5288
6.0	0.1157	0.5288
3.0	0.1058	0.5288
1.0	0.0707	0.5288
12.0	0.1644	0.5288
1.0	0.0563	0.5288
9.0	0.1435	0.5288
13.0	0.1634	0.5288
1.0	0.0782	0.5288
13.0	0.1681	0.5288
5.0	0.1178	0.5288
13.0	0.165	0.5287
1.0	0.0788	0.5287
15.0	0.1838	0.5287
4.0	0.1089	0.5287
6.0	0.1255	0.5287
9.0	0.1508	0.5287
5.0	0.1141	0.5287
3.0	0.1009	0.5287
9.0	0.141	0.5287
2.0	0.0805	0.5287
9.0	0.1488	0.5287
4.0	0.1005	0.5287
3.0	0.0917	0.5287
8.0	0.1388	0.5287
3.0	0.0941	0.5287
6.0	0.1279	0.5287
1.0	0.0694	0.5284
7.0	0.1386	0.5284
5.0	0.1142	0.5284
14.0	0.1893	0.5284
5.0	0.1204	0.5284
7.0	0.1284	0.4714
8.0	0.1392	0.4714
1.0	0.0688	0.4714
1.0	0.0762	0.4714
2.0	0.0814	0.4714
1.0	0.0748	0.4714
11.0	0.1603	0.4714
5.0	0.1164	0.4714
9.0	0.1363	0.4714
1.0	0.0728	0.4714
4.0	0.1102	0.4714
15.0	0.1865	0.4714
6.0	0.1309	0.4714
4.0	0.1092	0.4714
11.0	0.1599	0.4714
4.0	0.1115	0.4714
5.0	0.1222	0.4714
13.0	0.1636	0.4714
3.0	0.0997	0.4714
4.0	0.1149	0.4714
11.0	0.1459	0.4714
1.0	0.0772	0.4714
14.0	0.1615	0.4714
11.0	0.1631	0.4714
5.0	0.1111	0.4714
11.0	0.1582	0.4714
3.0	0.0937	0.4714
6.0	0.1157	0.4714
11.0	0.1558	0.4714
9.0	0.1443	0.4714
1.0	0.0703	0.4714
4.0	0.1096	0.4714
5.0	0.1184	0.471
9.0	0.1426	0.471
2.0	0.088	0.471
7.0	0.131	0.471
10.0	0.1502	0.471
3.0	0.096	0.471
10.0	0.1518	0.471
2.0	0.091	0.471
3.0	0.0881	0.471
1.0	0.0694	0.471
2.0	0.0856	0.471
9.0	0.148	0.471
13.0	0.1724	0.471
12.0	0.1652	0.471
3.0	0.0939	0.471
5.0	0.1098	0.471
8.0	0.1362	0.471
4.0	0.107	0.471
2.0	0.0841	0.471
7.0	0.1221	0.471
3.0	0.0906	0.471
1.0	0.0648	0.471
11.0	0.1654	0.471
10.0	0.1519	0.471
10.0	0.1472	0.471
1.0	0.0664	0.471
15.0	0.1854	0.471
5.0	0.1201	0.471
