# INITIAL DAMAGE IN LINEAGE
# original file "wt_unlimCap_highRe_3gen_perturbed.txt" 
# mother	daughter	initDMean	initDStd
0.0	0.0	0.14189999999999997	2.925694557147251e-17
0.0	1.0	0.06919	0.0003178049716414175
0.0	2.0	0.08237	0.0005888784066153026
0.0	3.0	0.09383	0.0008794569031194447
0.0	4.0	0.10396000000000001	0.0011644741302407706
0.0	5.0	0.11295999999999999	0.001498295327660366
0.0	6.0	0.12107000000000001	0.0018427334768399558
0.0	7.0	0.12842	0.0022285022374281395
0.0	8.0	0.13524	0.0026663333124973968
0.0	9.0	0.1416	0.0031780497164141403
0.0	10.0	0.1477	0.0037897522639642623
0.0	11.0	0.15366	0.004547086979594735
0.0	12.0	0.15965	0.005512863744612837
0.0	13.0	0.16596000000000002	0.006859413645170814
0.0	14.0	0.17304000000000003	0.008994961552632305
0.0	15.0	0.18258999999999997	0.014153401632744613
0.0	16.0	0.1827	0.015409218020392862
0.0	17.0	0.18403999999999998	0.006034732802701376
0.0	18.0	0.19544	0.010290675390857488
0.0	19.0	0.19465	0.007000357133746815
0.0	20.0	NaN	NaN
1.0	1.0	0.05438435754189944	0.0014725125686064738
1.0	2.0	0.06953743016759777	0.0013764455483687432
1.0	3.0	0.08264525139664805	0.0013788194422846647
1.0	4.0	0.09407877094972067	0.0014859252208129351
1.0	5.0	0.1041418994413408	0.0016717678091794548
1.0	6.0	0.11309832402234636	0.0019260915440322969
1.0	7.0	0.12114916201117319	0.0022334627902435883
1.0	8.0	0.12847206703910613	0.002604555575964832
1.0	9.0	0.13524301675977654	0.00304023466250359
1.0	10.0	0.14158435754189946	0.003561511010854013
1.0	11.0	0.14764245810055868	0.00419912866726489
1.0	12.0	0.15357262569832403	0.0050107053182239175
1.0	13.0	0.1595581005586592	0.006117388990185835
1.0	14.0	0.16591396648044693	0.007966550535650443
1.0	15.0	0.17257796610169493	0.009656828738995992
1.0	16.0	0.1785361963190184	0.010443929195836244
1.0	17.0	0.18342462686567162	0.010652681095450952
1.0	18.0	0.18832929292929293	0.01216868054596074
1.0	19.0	0.1882267857142857	0.010645434208172039
1.0	20.0	0.19113611111111112	0.011069756811828157
1.0	21.0	0.18995555555555554	0.010363012406814481
1.0	22.0	0.19423076923076926	0.01064850416845676
1.0	23.0	0.19863333333333333	0.008145397473420196
1.0	24.0	0.19926666666666668	0.010350040257570671
1.0	25.0	0.2069	0.005515432893255052
2.0	1.0	0.05701340782122904	0.0013071278687763273
2.0	2.0	0.07179608938547485	0.0012671902532898386
2.0	3.0	0.08460167597765363	0.0013352807582708774
2.0	4.0	0.09578212290502791	0.0014948277742593396
2.0	5.0	0.10564134078212291	0.0017265508876036
2.0	6.0	0.11443128491620112	0.002018238196637529
2.0	7.0	0.12234469273743016	0.0023648912107678824
2.0	8.0	0.12956983240223463	0.0027746414840500774
2.0	9.0	0.13624972067039104	0.003260546833258756
2.0	10.0	0.14253072625698326	0.003835303926830391
2.0	11.0	0.1485653631284916	0.0045357414885047135
2.0	12.0	0.1544871508379888	0.005444273585188248
2.0	13.0	0.16051731843575417	0.006698237363669001
2.0	14.0	0.16701117318435754	0.008779987987767654
2.0	15.0	0.1734425287356322	0.010458369242389185
2.0	16.0	0.1787326923076923	0.01082647390524005
2.0	17.0	0.182747619047619	0.010136277141323351
2.0	18.0	0.18852970297029703	0.01128811361171082
2.0	19.0	0.18949122807017543	0.010985010577759299
2.0	20.0	0.19232777777777776	0.010883844150485777
2.0	21.0	0.19280555555555556	0.011354007958955555
2.0	22.0	0.1929	0.013132402674301456
2.0	23.0	0.18702500000000002	0.010090052857476346
2.0	24.0	0.1919	0.015239094461286073
2.0	25.0	0.19014999999999999	0.012091525958289946
2.0	26.0	NaN	NaN
2.0	27.0	NaN	NaN
2.0	28.0	NaN	NaN
3.0	1.0	0.059337430167597766	0.0011535953029139067
3.0	2.0	0.07380335195530725	0.001131018206935818
3.0	3.0	0.0863435754189944	0.0012263495472240567
3.0	4.0	0.0973078212290503	0.0014086192344408346
3.0	5.0	0.10698826815642458	0.001662483189284766
3.0	6.0	0.11562681564245811	0.00197735961293212
3.0	7.0	0.12341284916201116	0.0023407245192189723
3.0	8.0	0.13052290502793296	0.002761977073782143
3.0	9.0	0.13711117318435753	0.003246984472778996
3.0	10.0	0.1433189944134078	0.003830785570119826
3.0	11.0	0.1492804469273743	0.004546082128655626
3.0	12.0	0.15515418994413407	0.00547162463679351
3.0	13.0	0.16114245810055866	0.006761165263588015
3.0	14.0	0.16740617977528088	0.008498508743312183
3.0	15.0	0.17352093023255816	0.0096658331918852
3.0	16.0	0.180126875	0.011728628211888397
3.0	17.0	0.18346507936507936	0.010439489010179128
3.0	18.0	0.18818210526315785	0.011176751887501094
3.0	19.0	0.18940714285714283	0.010373758101231069
3.0	20.0	0.19133333333333336	0.010362422094600598
3.0	21.0	0.196255	0.012538550029493252
3.0	22.0	0.19337142857142858	0.016047192307453072
3.0	23.0	0.17880000000000001	0.02375878784786799
3.0	24.0	NaN	NaN
3.0	25.0	NaN	NaN
3.0	26.0	NaN	NaN
3.0	27.0	NaN	NaN
3.0	28.0	NaN	NaN
3.0	29.0	NaN	NaN
3.0	30.0	NaN	NaN
3.0	31.0	NaN	NaN
3.0	32.0	NaN	NaN
3.0	33.0	NaN	NaN
3.0	34.0	NaN	NaN
3.0	35.0	NaN	NaN
3.0	36.0	NaN	NaN
3.0	37.0	NaN	NaN
3.0	38.0	NaN	NaN
3.0	39.0	NaN	NaN
3.0	40.0	NaN	NaN
4.0	1.0	0.061466480446927374	0.0010602068980865766
4.0	2.0	0.07572737430167599	0.0011001426514289812
4.0	3.0	0.08812402234636872	0.0012483398051655469
4.0	4.0	0.09899217877094972	0.0014840898740906012
4.0	5.0	0.10862234636871508	0.0017865770022511469
4.0	6.0	0.11724022346368715	0.002136349915397615
4.0	7.0	0.12505530726256983	0.0025462711865826687
4.0	8.0	0.13222737430167597	0.0030181062835636595
4.0	9.0	0.13892067039106146	0.003579257910307723
4.0	10.0	0.14527821229050278	0.0042570529896780425
4.0	11.0	0.151468156424581	0.005101040041352722
4.0	12.0	0.15767262569832402	0.006246237458888273
4.0	13.0	0.16419944134078213	0.00807923192204503
4.0	14.0	0.17078863636363636	0.009522657874092346
4.0	15.0	0.17746807228915662	0.01113268754699354
4.0	16.0	0.1826143884892086	0.011402520450785922
4.0	17.0	0.18654215686274514	0.01162598179628825
4.0	18.0	0.18925384615384613	0.012226355713721953
4.0	19.0	0.1886142857142857	0.011601702280196616
4.0	20.0	0.19105652173913046	0.012069225556496858
4.0	21.0	0.19385999999999998	0.01251027006674345
4.0	22.0	0.19296666666666665	0.008882567196480982
4.0	23.0	0.19651999999999997	0.01071386951572587
4.0	24.0	0.20013333333333336	0.010715098381878419
4.0	25.0	0.2081	0.006363961030678933
5.0	1.0	0.06319664804469273	0.000990057281360714
5.0	2.0	0.07713854748603352	0.0010496227849613098
5.0	3.0	0.08926368715083799	0.0012170926088139215
5.0	4.0	0.09989608938547488	0.0014643080633271472
5.0	5.0	0.1093094972067039	0.0017689485462448638
5.0	6.0	0.11773407821229051	0.0021290422530322838
5.0	7.0	0.12536201117318438	0.002541897985887903
5.0	8.0	0.13236033519553075	0.0030151195588945514
5.0	9.0	0.13887932960893856	0.003573115531889606
5.0	10.0	0.14505921787709497	0.004245362499909009
5.0	11.0	0.15104972067039107	0.005101369878830367
5.0	12.0	0.1570346368715084	0.006276997981482209
5.0	13.0	0.1630640449438202	0.007649537443140848
5.0	14.0	0.16935625000000007	0.009124244978548714
5.0	15.0	0.17572603550295857	0.010529320017101844
5.0	16.0	0.18144533333333332	0.011424109597228376
5.0	17.0	0.18549652173913045	0.011557582233919925
5.0	18.0	0.18773717948717955	0.010383417211128185
5.0	19.0	0.190092	0.009383895018289887
5.0	20.0	0.19231428571428572	0.009452482107331277
5.0	21.0	0.19391428571428573	0.00961896021430568
5.0	22.0	0.1983625	0.009681490071264854
5.0	23.0	0.20165	0.0059276189711103015
