# REJUVENATION FRACTION IN LINEAGE
# original file "wt_unlimCap_highRe_3gen_perturbed.txt" 
# mother	daughter	nCells	rej>0	rej>0.2	rej>0.5	rej>1
3.0	5.0	179.0	0.3128491620111732	0.0670391061452514	0.00558659217877095	0.0
3.0	6.0	179.0	0.39664804469273746	0.061452513966480445	0.0	0.0
3.0	7.0	179.0	0.3463687150837989	0.07262569832402235	0.0	0.0
3.0	8.0	179.0	0.3463687150837989	0.07262569832402235	0.0	0.0
3.0	9.0	179.0	0.3016759776536313	0.10614525139664804	0.01675977653631285	0.0
3.0	10.0	179.0	0.39106145251396646	0.0782122905027933	0.00558659217877095	0.0
3.0	11.0	179.0	0.3463687150837989	0.055865921787709494	0.00558659217877095	0.0
3.0	12.0	179.0	0.33519553072625696	0.061452513966480445	0.0111731843575419	0.0
3.0	13.0	179.0	0.2569832402234637	0.07262569832402235	0.0111731843575419	0.0
3.0	14.0	178.0	0.21910112359550563	0.028089887640449437	0.0	0.0
3.0	15.0	172.0	0.23837209302325582	0.046511627906976744	0.011627906976744186	0.0
3.0	16.0	160.0	0.15625	0.01875	0.00625	0.0
3.0	17.0	126.0	0.15873015873015872	0.007936507936507936	0.0	0.0
3.0	18.0	95.0	0.06315789473684211	0.010526315789473684	0.0	0.0
3.0	19.0	56.0	0.017857142857142856	0.0	0.0	0.0
3.0	20.0	33.0	0.0	0.0	0.0	0.0
3.0	21.0	20.0	0.1	0.0	0.0	0.0
3.0	22.0	7.0	0.14285714285714285	0.0	0.0	0.0
3.0	23.0	2.0	0.0	0.0	0.0	0.0
3.0	24.0	1.0	NaN	NaN	NaN	NaN
3.0	25.0	1.0	NaN	NaN	NaN	NaN
3.0	26.0	1.0	NaN	NaN	NaN	NaN
3.0	27.0	1.0	NaN	NaN	NaN	NaN
3.0	28.0	1.0	NaN	NaN	NaN	NaN
3.0	29.0	1.0	NaN	NaN	NaN	NaN
3.0	30.0	1.0	NaN	NaN	NaN	NaN
