# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_decCap_highRe_3gen_perturbed.txt" 
# genT	cycleGrowth	rejuvenation
1.657	1.6062	0.4489
1.6382	1.6075	0.4489
1.7214	1.6084	0.4489
1.6538	1.6059	0.4489
1.6593	1.6043	0.4489
1.6639	1.6096	0.4489
1.6722	1.6032	0.4489
1.7054	1.6073	0.4489
1.6424	1.6077	0.4489
1.6432	1.6124	0.4489
1.6944	1.6167	0.4489
1.6696	1.6129	0.4489
1.6672	1.6105	0.4489
1.6411	1.6058	0.4489
1.6895	1.6032	0.4489
1.6897	1.6134	0.3943
1.7146	1.6122	0.3943
1.6299	1.6149	0.3943
1.7003	1.6106	0.3943
1.674	1.6122	0.3943
1.6796	1.5991	0.3943
1.714	1.6162	0.3943
1.6315	1.6117	0.3943
1.6384	1.6096	0.3943
1.665	1.6088	0.3943
1.6457	1.6128	0.3943
1.6429	1.6079	0.3943
1.666	1.6093	0.3943
1.6408	1.6129	0.3943
1.6731	1.6148	0.3943
1.6451	1.6088	0.3943
1.6848	1.614	0.3943
1.7084	1.6072	0.3943
1.6156	1.6132	0.3943
1.6282	1.6113	0.3943
1.6843	1.604	0.3943
1.6984	1.6039	0.3943
1.7192	1.6088	0.3943
1.6774	1.6073	0.3943
1.6583	1.6126	0.3943
1.699	1.6121	0.3943
1.6588	1.6142	0.3943
1.6566	1.6047	0.3943
1.6444	1.6121	0.3942
1.6847	1.6102	0.3942
1.632	1.6089	0.3942
1.6563	1.6119	0.3942
1.6669	1.6073	0.3942
1.6677	1.6065	0.3942
1.674	1.6112	0.3942
1.6854	1.6157	0.3942
1.7073	1.6123	0.3942
1.7075	1.6097	0.3942
1.7197	1.6144	0.3942
1.6933	1.6205	0.3942
1.6609	1.6099	0.3942
1.68	1.6158	0.3942
1.6851	1.6152	0.3942
1.7004	1.6163	0.3942
1.6449	1.6123	0.3942
1.6959	1.6129	0.3942
1.6923	1.6169	0.3942
1.7111	1.6074	0.3942
1.6759	1.6139	0.3942
1.6521	1.6085	0.3942
1.7261	1.6147	0.3942
1.6584	1.6048	0.3942
1.6619	1.603	0.3942
1.7207	1.6065	0.3942
1.6973	1.6029	0.3942
1.6358	1.6074	0.3942
1.696	1.6075	0.3939
1.6652	1.6151	0.3939
1.6975	1.6031	0.3939
1.6416	1.609	0.3939
1.7065	1.6118	0.3939
1.7142	1.6046	0.3939
1.6972	1.6098	0.3939
1.6951	1.6095	0.3939
1.6739	1.6094	0.3939
1.6773	1.6039	0.3939
1.725	1.6056	0.3939
1.682	1.6021	0.3939
1.6295	1.6071	0.3939
1.7029	1.6059	0.3939
1.6748	1.6079	0.3939
1.6441	1.6122	0.3939
1.6389	1.6093	0.3939
1.632	1.6076	0.3939
1.6458	1.609	0.3939
1.6896	1.6204	0.3939
1.6779	1.6146	0.3939
1.7047	1.6135	0.3939
1.6875	1.6065	0.3939
1.6893	1.6202	0.3939
1.6717	1.6127	0.3939
1.7191	1.6084	0.3939
1.701	1.6068	0.3939
1.6653	1.6091	0.3939
1.6994	1.6123	0.3939
1.7018	1.6093	0.3939
1.6468	1.6062	0.3939
1.6584	1.6077	0.3936
1.6839	1.6087	0.3936
1.682	1.6087	0.3936
1.6877	1.6068	0.3936
1.6618	1.6092	0.3936
1.6361	1.6102	0.3936
1.6532	1.6061	0.3936
1.6873	1.6093	0.3936
1.6462	1.614	0.3936
1.6526	1.6086	0.3936
1.6229	1.6106	0.3936
1.7013	1.6159	0.3936
1.6687	1.608	0.3936
1.697	1.612	0.3936
1.6816	1.6072	0.3936
1.6549	1.6083	0.3936
1.699	1.6122	0.3936
1.6868	1.6186	0.3936
1.6364	1.6075	0.3936
1.6702	1.602	0.3936
1.6949	1.6066	0.3936
1.6716	1.6119	0.3936
1.6841	1.6179	0.3936
1.6818	1.6065	0.3936
1.6989	1.6053	0.3936
1.7041	1.6115	0.3936
1.6643	1.6119	0.3936
1.6869	1.6127	0.3936
1.6712	1.6043	0.3936
1.6781	1.6129	0.3936
1.6765	1.6057	0.3936
1.6638	1.6057	0.3935
1.6653	1.6099	0.3935
1.6616	1.6013	0.3935
1.6533	1.6068	0.3935
1.667	1.6047	0.3935
1.6766	1.6121	0.3935
1.7422	1.6085	0.3935
1.6572	1.605	0.3935
1.6804	1.6066	0.3935
1.6592	1.6082	0.3935
1.6934	1.6072	0.3935
1.6765	1.6149	0.3935
1.707	1.6137	0.3935
1.7117	1.608	0.3935
1.6851	1.6152	0.3935
1.6779	1.6006	0.3935
1.7054	1.6092	0.3935
1.6699	1.6043	0.3935
1.6977	1.6065	0.3935
1.6492	1.6068	0.3935
1.6539	1.6084	0.3935
1.6764	1.6046	0.3935
1.6769	1.6133	0.3935
1.6879	1.6083	0.3935
1.6486	1.6067	0.3933
1.6711	1.6129	0.3933
1.6994	1.6073	0.3933
1.6409	1.613	0.3933
1.7166	1.6086	0.3933
1.6928	1.6123	0.3933
1.6533	1.6112	0.3933
1.7002	1.6058	0.3933
1.6942	1.6122	0.3933
1.7415	1.6156	0.3933
1.6561	1.6091	0.3933
1.6701	1.6065	0.3933
1.6974	1.6098	0.3933
1.6289	1.6085	0.3933
1.669	1.6011	0.3933
1.6535	1.6095	0.3933
1.6835	1.6111	0.3933
1.6592	1.604	0.3933
1.732	1.6049	0.3933
1.6403	1.6085	0.3933
1.6499	1.6078	0.3933
1.6857	1.604	0.3933
1.6487	1.6089	0.3933
1.6934	1.608	0.3933
1.7036	1.6082	0.3933
1.6762	1.6062	0.3933
1.6613	1.6114	0.3933
1.6335	1.6072	0.3933
1.6604	1.6095	0.3933
1.6654	1.6001	0.3933
1.6294	1.6076	0.3933
1.6727	1.607	0.3932
1.6645	1.6083	0.3932
1.6485	1.611	0.3932
1.7136	1.6098	0.3932
1.6589	1.6141	0.3932
1.6592	1.608	0.3932
1.6932	1.6119	0.3932
1.6793	1.6086	0.3932
1.6302	1.6103	0.3932
1.6847	1.6084	0.3932
1.6831	1.6113	0.3932
1.6719	1.6158	0.3932
1.6805	1.6146	0.3932
1.7238	1.6165	0.3932
1.6521	1.6117	0.3932
1.6842	1.6138	0.3932
1.7117	1.6167	0.3932
1.6763	1.6055	0.3932
1.7118	1.6054	0.3932
1.6327	1.6101	0.3932
1.7071	1.6125	0.3932
1.7198	1.6108	0.3932
1.6438	1.6087	0.3932
1.6414	1.6079	0.3932
1.6938	1.6118	0.3932
1.7079	1.6065	0.3932
1.7166	1.6076	0.3932
1.6553	1.6072	0.3932
1.6695	1.6039	0.3932
1.6663	1.6144	0.3932
1.6853	1.6169	0.3932
1.6623	1.6063	0.3932
1.6795	1.6096	0.3932
1.644	1.6058	0.3932
1.6439	1.6141	0.3932
1.619	1.6134	0.3932
1.6825	1.6137	0.3932
1.6401	1.6124	0.3932
1.6299	1.6081	0.3932
1.6452	1.6123	0.3932
1.6938	1.616	0.3932
1.6727	1.6113	0.3932
1.6841	1.609	0.3932
1.6828	1.6011	0.3932
1.6417	1.6096	0.3932
1.6818	1.6136	0.3932
1.6926	1.6118	0.3932
1.716	1.6096	0.3932
1.6825	1.6094	0.3932
1.6688	1.6073	0.3932
1.6555	1.6118	0.3932
1.6785	1.6078	0.3932
1.6416	1.609	0.3932
1.6484	1.6139	0.3932
1.6716	1.6108	0.3932
1.6493	1.6081	0.3932
1.705	1.6075	0.3932
1.6819	1.6096	0.3932
1.6874	1.611	0.3932
1.6671	1.6032	0.3932
1.7014	1.6143	0.3932
1.7332	1.6148	0.3932
1.6781	1.6063	0.3932
1.6522	1.6086	0.3932
1.7143	1.6091	0.3932
1.6501	1.6125	0.3932
1.6724	1.6019	0.3932
1.6745	1.6033	0.3932
1.7158	1.6179	0.3932
1.657	1.6078	0.3932
1.6451	1.6074	0.3932
1.6354	1.6058	0.3932
1.6601	1.6024	0.3932
1.6935	1.6076	0.3932
1.6759	1.6086	0.3932
1.6904	1.6084	0.3932
1.7113	1.6051	0.3932
1.6616	1.6103	0.3932
1.6653	1.6069	0.3928
1.699	1.6066	0.3928
1.6978	1.6111	0.3928
1.6456	1.606	0.3928
1.6849	1.6069	0.3928
1.647	1.6103	0.3928
1.6388	1.6084	0.3928
1.6945	1.6157	0.3928
1.6936	1.6063	0.3928
1.7173	1.6105	0.3928
1.7242	1.6103	0.3928
1.661	1.6076	0.3928
1.6467	1.608	0.3928
1.6952	1.6197	0.3928
1.6585	1.6123	0.3928
1.6362	1.6122	0.3928
1.6397	1.608	0.3928
1.6661	1.6042	0.3928
1.6387	1.6065	0.3928
1.6487	1.6076	0.3928
1.6609	1.6149	0.3928
1.6854	1.6032	0.3928
1.6663	1.6067	0.3928
1.6736	1.6081	0.3928
1.66	1.6042	0.3928
1.6956	1.6072	0.3928
1.6524	1.6041	0.3928
1.6832	1.61	0.3928
1.6656	1.6131	0.3928
1.7101	1.6152	0.3928
1.6992	1.6105	0.3928
1.7155	1.6062	0.3928
1.7115	1.6052	0.3928
1.6951	1.6074	0.3928
1.6899	1.6104	0.3928
1.6806	1.6068	0.3928
1.6884	1.6015	0.3928
1.6557	1.6144	0.338
1.6716	1.6103	0.338
1.7223	1.6129	0.338
1.6318	1.6119	0.338
1.6741	1.6102	0.338
1.6797	1.6145	0.338
1.6821	1.6161	0.338
1.6402	1.6139	0.338
1.6695	1.608	0.338
1.6931	1.615	0.338
1.6633	1.6091	0.338
1.6512	1.6058	0.338
1.661	1.6089	0.338
1.7289	1.612	0.338
1.6722	1.6095	0.338
1.6834	1.6119	0.338
1.6887	1.6164	0.338
1.6805	1.6144	0.338
1.7086	1.6141	0.338
1.6752	1.6034	0.338
1.6608	1.6035	0.338
1.674	1.6146	0.338
1.7021	1.6151	0.338
1.6542	1.6063	0.338
1.6618	1.6078	0.338
1.7021	1.6098	0.338
1.6653	1.6189	0.338
1.6882	1.6118	0.338
1.7038	1.6102	0.338
1.7032	1.6066	0.338
1.6842	1.6136	0.338
1.6709	1.6106	0.338
1.6946	1.6164	0.338
1.7537	1.6094	0.338
1.6284	1.6112	0.338
1.6907	1.617	0.338
1.6774	1.6124	0.338
1.6185	1.6124	0.338
1.6504	1.6073	0.338
1.7004	1.6053	0.338
1.6473	1.6085	0.338
1.6883	1.6178	0.338
1.6495	1.6073	0.338
1.6803	1.6047	0.338
1.6886	1.6039	0.338
1.666	1.6105	0.338
1.6858	1.6109	0.338
1.658	1.6132	0.338
1.6355	1.6095	0.338
1.6378	1.6118	0.338
1.6779	1.6088	0.338
1.6654	1.611	0.3378
1.6953	1.6122	0.3378
1.6911	1.6072	0.3378
1.6427	1.6064	0.3378
1.6423	1.6154	0.3378
1.6762	1.6182	0.3378
1.7366	1.6186	0.3378
1.6665	1.6034	0.3378
1.6805	1.6117	0.3378
1.7061	1.6103	0.3378
1.6591	1.6093	0.3378
1.649	1.6076	0.3378
1.6805	1.6068	0.3378
1.7084	1.6062	0.3378
1.7178	1.6153	0.3378
1.694	1.6036	0.3378
1.6721	1.6197	0.3378
1.6858	1.6159	0.3378
1.6794	1.6133	0.3378
1.6972	1.613	0.3378
1.6884	1.6101	0.3378
1.6543	1.6057	0.3378
1.7172	1.6059	0.3378
1.6852	1.6045	0.3378
1.6749	1.6126	0.3378
1.656	1.6081	0.3378
1.718	1.6139	0.3378
1.6572	1.6074	0.3378
1.6387	1.6159	0.3378
1.7092	1.6164	0.3378
1.7007	1.6116	0.3378
1.6357	1.6069	0.3378
1.707	1.6058	0.3378
1.6678	1.6146	0.3378
1.6967	1.6102	0.3378
1.6471	1.6072	0.3378
1.6594	1.6073	0.3378
1.6902	1.6174	0.3378
1.7075	1.6125	0.3378
1.6762	1.6127	0.3378
1.6917	1.6092	0.3378
1.7076	1.6205	0.3378
1.6367	1.6121	0.3378
1.6415	1.6099	0.3378
1.6582	1.608	0.3378
1.6548	1.6118	0.3378
1.6705	1.6121	0.3376
1.6644	1.606	0.3376
1.6661	1.6065	0.3376
1.642	1.6061	0.3376
1.6636	1.6065	0.3376
1.7191	1.6078	0.3376
1.6394	1.6079	0.3376
1.6551	1.6089	0.3376
1.6711	1.6022	0.3376
1.6454	1.6093	0.3376
1.6972	1.6041	0.3376
1.6501	1.6059	0.3376
1.6401	1.6057	0.3376
1.671	1.6074	0.3376
1.6656	1.6082	0.3376
1.6534	1.6126	0.3376
1.7067	1.6118	0.3376
1.6338	1.6137	0.3376
1.6652	1.6106	0.3376
1.6949	1.6159	0.3376
1.6714	1.6099	0.3376
1.6774	1.6134	0.3376
1.6484	1.6098	0.3376
1.6591	1.6044	0.3376
1.6771	1.6181	0.3376
1.6722	1.6104	0.3376
1.6608	1.6055	0.3376
1.7142	1.6135	0.3376
1.7227	1.6124	0.3376
1.6485	1.6087	0.3376
1.6609	1.6125	0.3376
1.6773	1.6147	0.3376
1.6925	1.6119	0.3376
1.6893	1.6096	0.3376
1.6178	1.6168	0.3376
1.6258	1.6138	0.3376
1.6656	1.6127	0.3376
1.7117	1.6146	0.3376
1.6826	1.6065	0.3376
1.6552	1.6126	0.3376
1.6578	1.6086	0.3376
1.6568	1.607	0.3376
1.6529	1.6031	0.3376
1.6937	1.6133	0.3376
1.6604	1.618	0.3376
1.6627	1.6129	0.3376
1.6955	1.6108	0.3376
1.6903	1.6122	0.3374
1.664	1.6077	0.3374
1.6407	1.6096	0.3374
1.6835	1.6125	0.3374
1.6685	1.6068	0.3374
1.7048	1.6111	0.3374
1.6415	1.613	0.3374
1.6776	1.6098	0.3374
1.6756	1.6101	0.3374
1.721	1.6103	0.3374
1.6891	1.6083	0.3374
1.6894	1.6194	0.3374
1.6377	1.609	0.3374
1.6523	1.6108	0.3374
1.661	1.6117	0.3374
1.6769	1.6051	0.3374
1.6733	1.607	0.3374
1.6898	1.6183	0.3374
1.6754	1.6082	0.3374
1.6866	1.6021	0.3374
1.66	1.6089	0.3374
1.6611	1.6108	0.3374
