# GENERATION TIME IN LINEAGE
# original file "wt_decCap_highRe_3gen_perturbed.txt" 
# mother	daughter	genTMean	genTStd
0.0	0.0	1.65401	0.02298001305482658
0.0	1.0	1.63478	0.021608681382979205
0.0	2.0	1.6456199999999999	0.02397845329086555
0.0	3.0	1.6496600000000001	0.025172921959915547
0.0	4.0	1.65226	0.021105723289088087
0.0	5.0	1.6687699999999999	0.02623983612753707
0.0	6.0	1.6677399999999998	0.02542038552028667
0.0	7.0	1.67362	0.0266929786856228
0.0	8.0	1.6650099999999999	0.021758393016642254
0.0	9.0	1.66434	0.017079760602017276
0.0	10.0	1.65753	0.01493757752188157
0.0	11.0	1.68888	0.027025206341076805
0.0	12.0	1.67622	0.027240362210024537
0.0	13.0	1.6938900000000001	0.025457915162959536
0.0	14.0	1.6932699999999996	0.01835163026363962
0.0	15.0	1.6834	0.024898728213839896
0.0	16.0	1.699375	0.02887385124492899
0.0	17.0	1.6936499999999999	0.03321985851866324
0.0	18.0	1.7203600000000001	0.026413027088919596
0.0	19.0	1.6819000000000002	0.021213203435596444
1.0	1.0	1.632272375690608	0.024611208137582472
1.0	2.0	1.6417099447513819	0.024678961136456054
1.0	3.0	1.6458933701657459	0.02456342719982505
1.0	4.0	1.651782320441989	0.02454632620457063
1.0	5.0	1.6521469613259667	0.023106135648438747
1.0	6.0	1.6606541436464088	0.02615860272689838
1.0	7.0	1.6587270718232046	0.0238316033577342
1.0	8.0	1.6657701657458561	0.024892651625979412
1.0	9.0	1.6702320441988951	0.025964166989616712
1.0	10.0	1.6662817679558013	0.023730960770250956
1.0	11.0	1.6728779005524863	0.02425191076117164
1.0	12.0	1.6743895027624307	0.024378650730055757
1.0	13.0	1.679088397790055	0.025963930711165772
1.0	14.0	1.6812359116022102	0.026710973252224098
1.0	15.0	1.6809182320441989	0.0251266314931051
1.0	16.0	1.6907275280898877	0.02731962882761893
1.0	17.0	1.6936044871794873	0.028190349167524175
1.0	18.0	1.6975058823529412	0.0275346908897271
1.0	19.0	1.6974181818181817	0.02433143260147645
1.0	20.0	1.6974604651162792	0.02685125819110125
1.0	21.0	1.6962281250000002	0.027540764324847172
1.0	22.0	1.6924357142857143	0.02504662136413301
1.0	23.0	1.7155444444444445	0.03940641163285205
1.0	24.0	1.7155	0.03355800947612954
