# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_decCap_highRe_3gen_perturbed.txt" 
# daughter	rls	rejuvenation
10.0	35.0	0.9572
6.0	28.0	0.7887
2.0	27.0	0.7323
9.0	29.0	0.7295
9.0	26.0	0.676
11.0	29.0	0.6757
8.0	26.0	0.6757
3.0	26.0	0.6757
7.0	26.0	0.6748
13.0	27.0	0.6741
7.0	29.0	0.6734
1.0	29.0	0.6194
6.0	26.0	0.6189
17.0	29.0	0.6186
3.0	27.0	0.6184
1.0	25.0	0.6184
5.0	25.0	0.6184
5.0	28.0	0.618
1.0	26.0	0.6179
2.0	26.0	0.6179
5.0	27.0	0.6173
11.0	28.0	0.6173
8.0	25.0	0.5633
16.0	28.0	0.5633
6.0	26.0	0.5631
5.0	23.0	0.5631
2.0	26.0	0.5631
8.0	23.0	0.5631
2.0	26.0	0.5631
1.0	24.0	0.5626
3.0	26.0	0.5624
5.0	25.0	0.5624
8.0	27.0	0.5624
5.0	27.0	0.5624
14.0	26.0	0.5622
15.0	26.0	0.5622
10.0	26.0	0.5618
2.0	24.0	0.5618
13.0	25.0	0.5618
10.0	24.0	0.5618
11.0	26.0	0.5618
2.0	25.0	0.5617
1.0	27.0	0.5617
6.0	25.0	0.5617
2.0	25.0	0.5617
1.0	27.0	0.5617
11.0	22.0	0.5617
11.0	25.0	0.5617
12.0	25.0	0.5611
7.0	27.0	0.507
3.0	26.0	0.507
6.0	26.0	0.507
13.0	24.0	0.5064
7.0	25.0	0.5064
2.0	25.0	0.5064
10.0	23.0	0.5064
11.0	25.0	0.5061
3.0	24.0	0.5061
4.0	26.0	0.5061
2.0	27.0	0.506
1.0	27.0	0.506
6.0	26.0	0.506
6.0	24.0	0.506
12.0	24.0	0.506
4.0	24.0	0.506
6.0	25.0	0.5056
2.0	25.0	0.5056
8.0	25.0	0.5056
1.0	24.0	0.5056
5.0	23.0	0.5056
1.0	25.0	0.5056
2.0	24.0	0.5056
2.0	26.0	0.5056
6.0	24.0	0.5056
17.0	26.0	0.5056
8.0	26.0	0.5056
8.0	23.0	0.5055
10.0	24.0	0.5055
5.0	26.0	0.5055
16.0	25.0	0.5055
9.0	26.0	0.5055
1.0	23.0	0.5055
5.0	23.0	0.5055
6.0	25.0	0.5055
2.0	24.0	0.5055
5.0	24.0	0.5055
6.0	23.0	0.5055
8.0	27.0	0.5055
2.0	25.0	0.5055
6.0	23.0	0.5055
10.0	24.0	0.505
13.0	25.0	0.505
3.0	26.0	0.505
8.0	25.0	0.505
7.0	27.0	0.505
12.0	29.0	0.505
14.0	27.0	0.505
12.0	26.0	0.505
7.0	24.0	0.4507
11.0	24.0	0.4507
3.0	22.0	0.4507
5.0	22.0	0.4507
1.0	26.0	0.4507
2.0	23.0	0.4507
8.0	22.0	0.4507
4.0	25.0	0.4507
2.0	24.0	0.4507
13.0	23.0	0.4507
7.0	24.0	0.4507
2.0	24.0	0.4507
16.0	25.0	0.4507
1.0	23.0	0.4507
3.0	24.0	0.4505
9.0	23.0	0.4505
3.0	24.0	0.4505
7.0	25.0	0.4505
1.0	23.0	0.4505
8.0	24.0	0.4505
2.0	23.0	0.4505
10.0	25.0	0.4505
7.0	22.0	0.4505
7.0	22.0	0.4505
10.0	22.0	0.4505
1.0	24.0	0.4501
8.0	23.0	0.4501
14.0	26.0	0.4501
5.0	26.0	0.4501
3.0	24.0	0.4501
16.0	25.0	0.4501
5.0	23.0	0.4501
1.0	24.0	0.4501
16.0	24.0	0.4499
1.0	24.0	0.4499
6.0	25.0	0.4499
13.0	23.0	0.4499
4.0	22.0	0.4499
10.0	23.0	0.4499
3.0	23.0	0.4499
15.0	23.0	0.4499
6.0	23.0	0.4499
9.0	25.0	0.4499
16.0	24.0	0.4499
1.0	21.0	0.4499
8.0	24.0	0.4499
5.0	24.0	0.4499
13.0	24.0	0.4499
6.0	23.0	0.4499
2.0	23.0	0.4499
3.0	23.0	0.4499
3.0	22.0	0.4498
2.0	25.0	0.4498
3.0	22.0	0.4498
7.0	25.0	0.4498
12.0	22.0	0.4498
11.0	23.0	0.4498
1.0	24.0	0.4498
12.0	23.0	0.4498
4.0	25.0	0.4494
18.0	26.0	0.4494
12.0	24.0	0.4494
7.0	24.0	0.4494
14.0	24.0	0.4494
2.0	25.0	0.4494
3.0	23.0	0.4494
5.0	23.0	0.4494
12.0	25.0	0.4494
