# =============================================
# POPULATIONS
# =============================================
# Q 2.5526 
# s 0.637 
# k1 0.404 ± 0.005 
# k2 0.02438 ± 0.005 
# R 1000.0 
# re 0.0 
# damage threshold 0.5 
# maximal time 1000.0 
# maximal generation 3 
# start with 1 cells 
# 10 independent populations 
# =============================================
# pop(1)	id(2)	momId(3)	childId(4)	gen(5)	rls(6)	rej(7)	birthT(8)	deathT(9)	genTMom(10)	DMom(11)	cycleGrowthMom(12)	totGrowthMom(13)	meanGenT(14)	meanCycleGrowth(15)	totGrowth(16)	tau(17)	nHealthy(18)	initState(19-20)	params(21-22)
1	1	0	0	0	10	0.0000	0.0000	21.9529	0.0000	0.0000	0.0000	0.0000	1.5675	1.6002	3.0515	12.9638	7.0000	0.3630	0.1745	0.4006	0.0244
1	2	1	1	1	10	0.0000	2.5465	24.6419	2.5465	0.4222	2.5700	2.5700	1.5851	1.6151	3.4244	12.6665	7.0000	0.3630	0.1532	0.4045	0.0246
1	3	1	2	1	8	-0.2780	3.9100	22.8638	1.3635	0.4329	1.5906	2.6039	1.5896	1.6181	3.2768	9.8130	5.0000	0.3630	0.1571	0.4061	0.0243
1	4	1	3	1	7	-0.4169	5.3074	22.7848	1.3974	0.4437	1.5904	2.6380	1.6044	1.6207	3.2025	10.1587	5.0000	0.3630	0.1611	0.4070	0.0242
1	5	1	4	1	8	-0.2780	6.7413	26.5069	1.4339	0.4548	1.5908	2.6731	1.6838	1.6281	3.3811	10.0839	5.0000	0.3630	0.1651	0.4057	0.0245
1	6	1	5	1	12	0.2780	8.2157	33.4919	1.4743	0.4667	1.5918	2.7105	1.5820	1.6026	3.2361	14.1772	8.0000	0.3630	0.1694	0.3998	0.0241
1	7	1	6	1	5	-0.6949	9.7365	24.6059	1.5209	0.4797	1.5937	2.7516	1.7142	1.6359	3.0972	7.4684	3.0000	0.3630	0.1741	0.4097	0.0244
1	8	1	7	1	7	-0.4169	11.3137	29.0669	1.5772	0.4947	1.5968	2.7989	1.6358	1.6120	3.0173	8.7146	4.0000	0.3630	0.1796	0.4033	0.0243
1	9	1	8	1	5	-0.6949	12.9638	27.9568	1.6500	0.5129	1.6021	2.8564	1.7325	1.6282	2.9846	5.8596	2.0000	0.3630	0.1862	0.4062	0.0243
1	10	1	9	1	7	-0.4169	14.7182	32.7740	1.7544	0.5371	1.6118	2.9328	1.6718	1.6059	2.8902	8.9910	4.0000	0.3630	0.1950	0.4002	0.0244
1	11	1	10	1	4	-0.8339	16.6538	30.7409	1.9357	0.5747	1.6334	3.0515	1.9257	1.6445	2.9049	4.5930	1.0000	0.3630	0.2086	0.4034	0.0243
1	12	2	1	2	10	0.0000	4.9787	27.1043	2.4321	0.3924	2.6542	2.6542	1.5900	1.6229	3.6353	12.4852	7.0000	0.3630	0.1425	0.4055	0.0241
1	13	2	2	2	9	-0.1390	6.2780	26.2735	1.2994	0.4082	1.6014	2.7076	1.5334	1.6128	3.3242	12.7305	7.0000	0.3630	0.1482	0.4056	0.0244
1	14	2	3	2	14	0.5559	7.6221	35.0469	1.3441	0.4235	1.5999	2.7593	1.5146	1.5990	3.3391	16.5409	10.0000	0.3630	0.1537	0.4003	0.0245
1	15	2	4	2	8	-0.2780	9.0135	28.3986	1.3914	0.4388	1.5993	2.8111	1.6402	1.6247	3.3626	9.9359	5.0000	0.3630	0.1593	0.4063	0.0243
1	16	2	5	2	6	-0.5559	10.4569	26.5509	1.4434	0.4547	1.5999	2.8649	1.6385	1.6267	3.1570	8.7724	4.0000	0.3630	0.1651	0.4084	0.0242
1	17	2	6	2	6	-0.5559	11.9602	28.4325	1.5033	0.4720	1.6018	2.9233	1.6967	1.6311	3.1741	7.1922	3.0000	0.3630	0.1713	0.4080	0.0245
1	18	2	7	2	10	0.0000	13.5371	35.6196	1.5769	0.4917	1.6058	2.9903	1.5788	1.5993	3.0208	13.0715	7.0000	0.3630	0.1785	0.4002	0.0246
1	19	2	8	2	7	-0.4169	15.2130	33.3717	1.6759	0.5163	1.6135	3.0734	1.6887	1.6141	3.0114	8.9152	4.0000	0.3630	0.1874	0.4023	0.0245
1	20	2	9	2	4	-0.8339	17.0445	30.7645	1.8315	0.5510	1.6299	3.1910	1.8375	1.6375	2.8965	4.4832	1.0000	0.3630	0.2000	0.4054	0.0243
1	21	2	10	2	2	-1.1118	19.2449	30.1650	2.2004	0.6200	1.6847	3.4244	2.2826	1.7089	2.7866	3.2099	0.0000	0.3630	0.2251	0.4070	0.0243
1	22	3	1	2	12	0.5559	6.3884	30.5235	2.4784	0.4023	2.6526	2.6526	1.4966	1.6030	3.3562	15.1331	9.0000	0.3630	0.1460	0.4021	0.0243
1	23	3	2	2	7	-0.1390	7.7268	25.0897	1.3385	0.4200	1.6048	2.7117	1.5913	1.6248	3.2968	10.0281	5.0000	0.3630	0.1525	0.4089	0.0245
1	24	3	3	2	10	0.2780	9.1200	30.8277	1.3932	0.4378	1.6042	2.7710	1.5477	1.6064	3.2322	12.6478	7.0000	0.3630	0.1589	0.4028	0.0243
1	25	3	4	2	13	0.6949	10.5745	37.2350	1.4545	0.4564	1.6051	2.8332	1.5673	1.6014	3.2852	15.5223	9.0000	0.3630	0.1657	0.4001	0.0247
1	26	3	5	2	9	0.1390	12.1018	32.7045	1.5273	0.4770	1.6080	2.9020	1.5913	1.6057	3.0922	11.5271	6.0000	0.3630	0.1731	0.4020	0.0244
