# =============================================
# POPULATIONS
# =============================================
# Q 2.5526 
# s 0.637 
# g 1.05 
# k1 variation 0.005 
# k2 variation 0.005 
# maximal time 1000.0 
# maximal generation 3 
# start with 5 cells 
# =============================================
# size	alive	time	k1	k2	R	rls	±	rej	±	±	gen	±	growthCycle	±	growth	±	lifetime	±	h	initState	±
10134	0	101.3973	0.3800	0.0075	0.3183	11.3228	4.9127	-0.1963	0.5400	1.5289	0.2100	1.5894	0.1680	3.1579	0.4000	23.0971	6.5041	0.4558	0.1641	0.1671	0.0217
10448	0	100.8007	0.4000	0.0306	0.3183	11.7335	4.8695	-0.2032	0.5749	1.5441	0.1480	1.5995	0.0924	3.1601	0.2840	23.7542	6.5579	0.4485	0.1486	0.1688	0.0209
15456	0	143.4132	0.4200	0.0544	0.3183	13.5514	5.8588	-0.1586	0.5890	1.5391	0.0970	1.5994	0.0279	3.1619	0.2167	26.4128	8.0582	0.4553	0.1331	0.1699	0.0199
31321	0	197.6910	0.4400	0.0775	0.3183	14.8813	6.6806	-0.2200	0.7154	1.5378	0.0758	1.5970	0.0092	3.1530	0.2015	28.4153	9.3802	0.4522	0.1182	0.1710	0.0191
30297	0	216.2223	0.4600	0.1000	0.3183	15.1961	7.0230	-0.2753	0.8203	1.5441	0.0630	1.5961	0.0086	3.1381	0.1930	28.9844	10.0361	0.4348	0.1034	0.1723	0.0184
19353	0	200.4982	0.4800	0.1228	0.3183	16.4763	8.2308	-0.2344	0.8478	1.5474	0.0528	1.5943	0.0084	3.1242	0.1853	30.9698	11.9603	0.4216	0.0919	0.1738	0.0178
23656	0	242.4248	0.5000	0.1456	0.3183	17.9048	9.3711	-0.2571	0.8799	1.5505	0.0436	1.5925	0.0082	3.1122	0.1777	33.1951	13.8105	0.4056	0.0798	0.1750	0.0172
8386	0	110.6667	0.3800	0.0056	1000.0000	10.5603	4.5915	-0.1866	0.5227	1.5542	0.2137	1.5929	0.1631	3.1534	0.3937	22.2442	6.1300	0.4234	0.1635	0.1688	0.0220
9934	0	101.3769	0.4000	0.0244	1000.0000	11.4927	4.8278	-0.1639	0.5560	1.6120	0.1556	1.6010	0.0892	3.1650	0.2849	24.4068	6.7479	0.3464	0.1426	0.1749	0.0218
17132	0	147.5771	0.4200	0.0425	1000.0000	13.2237	5.7610	-0.2011	0.6594	1.6598	0.1162	1.6009	0.0343	3.1743	0.2296	27.9215	8.4613	0.2639	0.1150	0.1804	0.0216
16955	0	179.2268	0.4400	0.0594	1000.0000	14.0658	6.3793	-0.2196	0.7178	1.7188	0.0958	1.5997	0.0098	3.1637	0.2147	30.3052	9.8917	0.1688	0.0815	0.1869	0.0215
21841	0	207.1645	0.4600	0.0756	1000.0000	15.3517	7.4775	-0.2399	0.8015	1.7806	0.0819	1.5976	0.0094	3.1521	0.2061	33.6040	12.2826	0.0914	0.0515	0.1934	0.0210
30021	0	275.9642	0.4800	0.0912	1000.0000	16.8582	8.8386	-0.2663	0.8867	1.8481	0.0681	1.5956	0.0092	3.1367	0.1974	37.5598	15.3942	0.0423	0.0304	0.2002	0.0206
33105	0	295.7511	0.5000	0.1062	1000.0000	18.2721	10.1894	-0.3101	0.9428	1.9246	0.0586	1.5942	0.0095	3.1199	0.1893	41.6921	18.7772	0.0173	0.0168	0.2072	0.0202
