# =============================================
# POSSIBLE PARAMETERS
# =============================================
# Q 2.5526 
# s 0.637 
# g 1.05 
# k1 variation 0.0 
# k2 variation 0.0 
# maximal time 500.0 
# expected RLS 24 pm 0 
# mean of 1 cells 
# =============================================
# k1	k2	R	re	RLS	nDead
0.40000000	0.02500000	1000.00000000	0.00000000	24.00000000	1.00000000
0.40000000	0.02812500	1000.00000000	0.01000000	24.00000000	1.00000000
0.40000000	0.03125000	1000.00000000	0.02000000	24.00000000	1.00000000
0.40000000	0.03468750	1000.00000000	0.03000000	24.00000000	1.00000000
0.40000000	0.03750000	1000.00000000	0.04000000	24.00000000	1.00000000
0.40000000	0.04062500	1000.00000000	0.05000000	24.00000000	1.00000000
0.40000000	0.04375000	1000.00000000	0.06000000	24.00000000	1.00000000
0.40000000	0.04656250	1000.00000000	0.07000000	24.00000000	1.00000000
0.40000000	0.04937500	1000.00000000	0.08000000	24.00000000	1.00000000
0.40000000	0.05187500	1000.00000000	0.09000000	24.00000000	1.00000000
0.40000000	0.05468750	1000.00000000	0.10000000	24.00000000	1.00000000
0.40000000	0.05750000	1000.00000000	0.11000000	24.00000000	1.00000000
0.40000000	0.06000000	1000.00000000	0.12000000	24.00000000	1.00000000
0.40000000	0.06250000	1000.00000000	0.13000000	24.00000000	1.00000000
0.40000000	0.06468750	1000.00000000	0.14000000	24.00000000	1.00000000
0.40000000	0.06687500	1000.00000000	0.15000000	24.00000000	1.00000000
0.40000000	0.06937500	1000.00000000	0.16000000	24.00000000	1.00000000
0.40000000	0.07125000	1000.00000000	0.17000000	24.00000000	1.00000000
0.40000000	0.07343750	1000.00000000	0.18000000	24.00000000	1.00000000
0.40000000	0.07562500	1000.00000000	0.19000000	24.00000000	1.00000000
0.40000000	0.07750000	1000.00000000	0.20000000	24.00000000	1.00000000
0.40000000	0.07937500	1000.00000000	0.21000000	24.00000000	1.00000000
0.40000000	0.08125000	1000.00000000	0.22000000	24.00000000	1.00000000
0.40000000	0.08281250	1000.00000000	0.23000000	24.00000000	1.00000000
0.40000000	0.08437500	1000.00000000	0.24000000	24.00000000	1.00000000
0.40000000	0.08593750	1000.00000000	0.25000000	24.00000000	1.00000000
0.40000000	0.08750000	1000.00000000	0.26000000	24.00000000	1.00000000
0.40000000	0.08906250	1000.00000000	0.27000000	24.00000000	1.00000000
0.40000000	0.09031250	1000.00000000	0.28000000	24.00000000	1.00000000
0.40000000	0.09187500	1000.00000000	0.29000000	24.00000000	1.00000000
0.40000000	0.09250000	1000.00000000	0.29570000	24.00000000	1.00000000
0.40000000	0.03125000	0.31830989	0.00000000	24.00000000	1.00000000
0.40000000	0.03562500	0.31830989	0.01000000	24.00000000	1.00000000
0.40000000	0.04000000	0.31830989	0.02000000	24.00000000	1.00000000
0.40000000	0.04437500	0.31830989	0.03000000	24.00000000	1.00000000
0.40000000	0.04812500	0.31830989	0.04000000	24.00000000	1.00000000
0.40000000	0.05250000	0.31830989	0.05000000	24.00000000	1.00000000
0.40000000	0.05625000	0.31830989	0.06000000	24.00000000	1.00000000
0.40000000	0.06062500	0.31830989	0.07000000	24.00000000	1.00000000
0.40000000	0.06437500	0.31830989	0.08000000	24.00000000	1.00000000
0.40000000	0.06812500	0.31830989	0.09000000	24.00000000	1.00000000
0.40000000	0.07187500	0.31830989	0.10000000	24.00000000	1.00000000
0.40000000	0.07562500	0.31830989	0.11000000	24.00000000	1.00000000
0.40000000	0.07937500	0.31830989	0.12000000	24.00000000	1.00000000
0.40000000	0.08312500	0.31830989	0.13000000	24.00000000	1.00000000
0.40000000	0.08687500	0.31830989	0.14000000	24.00000000	1.00000000
0.40000000	0.09062500	0.31830989	0.15000000	24.00000000	1.00000000
0.40000000	0.09437500	0.31830989	0.16000000	24.00000000	1.00000000
0.40000000	0.09750000	0.31830989	0.17000000	24.00000000	1.00000000
0.40000000	0.10125000	0.31830989	0.18000000	24.00000000	1.00000000
0.40000000	0.10437500	0.31830989	0.19000000	24.00000000	1.00000000
0.40000000	0.10812500	0.31830989	0.20000000	24.00000000	1.00000000
0.40000000	0.11125000	0.31830989	0.21000000	24.00000000	1.00000000
0.40000000	0.11437500	0.31830989	0.22000000	24.00000000	1.00000000
0.40000000	0.11750000	0.31830989	0.23000000	24.00000000	1.00000000
0.40000000	0.12125000	0.31830989	0.24000000	24.00000000	1.00000000
0.40000000	0.12437500	0.31830989	0.25000000	24.00000000	1.00000000
0.40000000	0.12750000	0.31830989	0.26000000	24.00000000	1.00000000
0.40000000	0.13062500	0.31830989	0.27000000	24.00000000	1.00000000
0.40000000	0.13312500	0.31830989	0.28000000	24.00000000	1.00000000
0.40000000	0.13625000	0.31830989	0.29000000	24.00000000	1.00000000
0.40000000	0.13812500	0.31830989	0.29570000	24.00000000	1.00000000
