# =============================================
# POPULATIONS
# =============================================
# Q 2.5526 
# s 0.637 
# g 1.05 
# k1 variation 0.0 
# k2 variation 0.0 
# maximal time 1000.0 
# maximal generation 3 
# start with 5 cells 
# =============================================
# size(1)	alive(2)	time(3)	k1(4)	k2(5)	R(6)	re(7)	rls(8)	±(9)	rej(10)	±(11)	gen(12)	±(13)	growthCycle(14)	±(15)	growth(16)	±(17)	lifetime(18)	±(19)	health(20,22,24,26)	±(21,23,25,27)	initState(28,30)	±(29,31)	rejFrac(32)
49100	0	149.8370	0.4000	0.0694	1000.0000	0.1600	21.0718	1.0407	-0.0024	0.0672	1.8203	0.0396	1.6054	0.0024	3.4571	0.4197	44.5553	1.6076	0.1927	0.0234	0.4850	0.0298	0.4415	0.0271	0.3980	0.0246	0.4371	0.0152	0.1523	0.0313	0.3578
46775	0	151.4476	0.4000	0.0712	1000.0000	0.1700	20.6079	0.9819	-0.0020	0.0652	1.8462	0.0408	1.6071	0.0024	3.4663	0.4276	44.2472	1.5533	0.1830	0.0226	0.4746	0.0295	0.4305	0.0268	0.3864	0.0243	0.4420	0.0167	0.1512	0.0319	0.3483
48485	0	156.0765	0.4000	0.0734	1000.0000	0.1800	20.9807	0.9305	-0.0022	0.0602	1.8768	0.0406	1.6073	0.0024	3.4739	0.4397	45.5785	1.5271	0.1684	0.0181	0.4571	0.0258	0.4133	0.0229	0.3696	0.0201	0.4473	0.0181	0.1505	0.0322	0.3421
53290	0	165.9007	0.4000	0.0756	1000.0000	0.1900	21.5334	0.9044	-0.0016	0.0579	1.9112	0.0388	1.6072	0.0024	3.4820	0.4538	47.3576	1.5497	0.1535	0.0169	0.4381	0.0250	0.3949	0.0219	0.3516	0.0191	0.4528	0.0195	0.1500	0.0325	0.3390
53220	0	167.2803	0.4000	0.0775	1000.0000	0.2000	21.5062	0.8681	-0.0014	0.0558	1.9434	0.0390	1.6081	0.0025	3.4897	0.4679	47.9992	1.5482	0.1431	0.0154	0.4250	0.0240	0.3816	0.0210	0.3383	0.0180	0.4582	0.0210	0.1492	0.0329	0.3356
53900	0	172.2186	0.4000	0.0794	1000.0000	0.2100	21.6394	0.8296	-0.0017	0.0529	1.9781	0.0393	1.6087	0.0024	3.4957	0.4776	49.0075	1.5265	0.1325	0.0165	0.4104	0.0256	0.3672	0.0231	0.3241	0.0207	0.4638	0.0226	0.1485	0.0333	0.3255
55400	0	175.1587	0.4000	0.0813	1000.0000	0.2200	21.9346	0.7804	-0.0014	0.0493	2.0150	0.0399	1.6089	0.0023	3.4980	0.4798	50.3938	1.4769	0.1213	0.0118	0.3950	0.0209	0.3520	0.0176	0.3091	0.0143	0.4695	0.0241	0.1479	0.0335	0.3133
53855	0	176.5566	0.4000	0.0828	1000.0000	0.2300	21.6274	0.7753	-0.0012	0.0497	2.0496	0.0393	1.6102	0.0025	3.5078	0.5052	50.5251	1.5520	0.1150	0.0115	0.3864	0.0211	0.3430	0.0176	0.2996	0.0141	0.4750	0.0259	0.1469	0.0339	0.3186
53140	0	180.4672	0.4000	0.0844	1000.0000	0.2400	21.4720	0.7375	-0.0010	0.0473	2.0855	0.0406	1.6113	0.0025	3.5119	0.5171	50.9719	1.5386	0.1081	0.0120	0.3765	0.0218	0.3328	0.0188	0.2892	0.0161	0.4806	0.0276	0.1459	0.0342	0.3112
53055	0	183.3221	0.4000	0.0859	1000.0000	0.2500	21.4817	0.7111	-0.0009	0.0456	2.1248	0.0410	1.6120	0.0025	3.5164	0.5289	51.8286	1.5453	0.1012	0.0127	0.3659	0.0231	0.3221	0.0205	0.2783	0.0180	0.4865	0.0293	0.1451	0.0345	0.3039
